cx	cy
145.042	32.005
111.033	48.088
104.003	173.272
69.297	110.182
101.001	41.283
86.632	88.338
81.735	42.356
60.332	113.149
42.411	134.872
38.247	49.094
107.503	82.383
145.818	48.219
143.879	25.035
74.385	94.183
109.722	169.89
86.344	80.737
162.768	136.752
107.359	103.893
159.33	79.034
37.161	48.183
155.527	91.419
107.038	96.583
128.694	159.409
74.476	66.168
126.211	152.352
93.501	68.56
168.734	81.415
113.672	95.018
31.141	116.356
124.633	159.202
91.535	61.504
33.082	150.961
162.43	132.932
143.23	78.05
73.125	66.514
113.752	124.009
136.675	147.221
126.076	126.111
165.204	80.267
177.224	94.552
34.062	114.361
169.657	122.736
146.493	62.307
123.291	156.466
87.724	86.754
139.566	20.075
142.051	78.049
42.33	133.102
114.669	171.695
36.064	81.453
47.231	131.443
88.277	81.646
140.473	94.341
60.196	31.09
126.161	108.711
43.055	32.049
66.608	143.28
147.568	160.234
86.458	124.073
95.493	39.044
60.004	118.801
144.341	88.593
144.971	157.044
63.269	103.304
111.931	79.056
140.566	60.231
115.303	170.436
104.256	101.546
143.977	104.493
122.131	122.939
145.593	26.119
133.272	103.415
162.521	97.066
33.043	76.48
90.262	120.621
131.677	98.071
170.198	98.474
137.988	94.177
171.245	76.602
171.029	122.672
148.313	154.348
112.897	48.196
79.242	121.479
95.081	59.335
47.239	35.35
132.923	151.203
31.13	139.613
38.196	55.398
135.178	143.121
146.843	72.588
63.383	102.014
135.5	153.995
144.418	31.11
38.249	45.368
95.525	70.303
124.045	119.03
141.225	81.047
39.211	47.166
170.274	42.388
87.185	133.227
29.004	34.047
140.255	34.033
48.265	118.913
110.507	86.784
57.344	117.635
49.415	33.198
140.765	98.029
45.253	116.203
34.201	72.169
94.014	50.46
99.843	34.233
145.75	78.471
44.416	48.295
157.852	82.248
43.21	64.336
121.413	116.768
32.024	114.768
165.561	48.149
146.292	150.708
105.478	100.17
78.277	57.552
154.251	131.614
132.327	154.477
144.101	50.492
167.668	96.759
107.099	84.668
89.204	58.16
135.181	86.437
173.132	82.557
71.035	55.175
134.155	150.712
109.599	100.225
63.098	94.473
35.34	39.257
56.333	115.597
132.378	27.208
141.237	142.362
174.498	82.035
40.337	67.424
140.389	58.009
57.558	113.626
49.317	40.173
86.739	68.148
173.18	85.216
60.405	108.393
53.483	134.87
69.147	91.572
143.588	43.047
54.014	119.077
117.03	54.232
47.377	40.162
26.208	35.227
55.213	122.889
58.414	123.898
90.126	121.238
146.17	54.415
89.323	83.009
162.123	96.146
111.298	131.883
170.009	42.414
163.923	55.246
37.222	150.18
45.143	52.111
172.199	55.243
136.332	33.271
46.202	71.253
43.378	122.049
112.045	127.174
25.219	107.988
78.177	125.16
29.029	139.236
36.117	67.422
38.203	51
168.54	56.177
40.037	136.115
140.492	30.088
33.094	81.129
66.658	99.495
45.066	48.316
167.737	123.687
60.146	132.542
33.142	79.331
126.798	111.809
31.279	37.298
31.108	147.952
114.41	129.104
150.549	161.45
140.143	149.849
44.246	75.429
105.141	168.464
162.117	94.12
96.185	50.482
58.46	143.15
50.311	133.496
74.665	50.445
89.777	76.182
82.683	120.17
139.047	41.37
111.341	53.19
136.153	100.594
89.191	135.001
59.422	141.886
80.416	132.007
138.11	73.59
160.108	85.292
163.018	122.174
141.601	152.052
114.141	129.157
47.028	130.875
137.923	49.412
66.643	107.254
96.819	34.083
145.035	148.351
101.307	39.123
35.168	40.03
51.435	45.014
120.93	168.174
51.399	116.339
160.449	133.667
80.413	45.081
39.166	30.268
146.847	153.436
169.535	124.166
48.068	120.458
127.675	166.362
45.084	134.214
131.035	108.608
35.304	80.766
128.503	121.585
63.153	137.182
76.529	59.202
33.027	131.14
137.357	161.076
135.123	18.152
98.939	39.029
143.221	163.466
95.329	65.333
51.497	134.287
29.267	122.136
44.195	51.07
59.56	128.171
62.54	149.767
40.127	44.416
115.732	77.103
61.197	127.065
114.477	133.324
76.165	63.244
142.245	55.109
105.238	107.466
60.428	33.264
43.291	54.232
71.125	75.474
170.322	122.364
38.234	54.093
87.07	130.983
84.341	138.419
167.335	98.786
36.019	66.018
150.549	156.694
117.129	61.219
118.579	134.893
87.025	125.503
67.623	103.051
146.092	88.275
34.083	68.359
166.633	56.38
123.692	157.839
127.552	164.82
61.334	35.326
55.213	38.003
73.126	65.514
103.058	38.224
160.341	88.731
110.386	135.594
99.301	29.248
84.363	119.045
143.087	89.047
174.508	42.006
167.796	128.148
54.211	132.039
38.275	34.146
138.068	77.556
96.331	56.4
107.049	72.229
44.41	66.431
36.141	120.776
77.207	123.57
120.046	124.065
136.773	96.947
81.76	50.432
102.533	98.523
99.987	52.205
164.245	46.321
109.838	162.003
68.181	82.261
131.504	26.058
115.439	48.08
95.872	72.089
147.38	148.333
38.082	73.504
79.499	132.881
110.191	49.265
37.362	56.04
70.64	109.526
35.28	52.421
71.645	67.578
33.08	143.583
37.143	147.789
138.967	142.128
154.05	133.695
147.615	30.036
111.925	50.288
33.027	146.046
107.232	65.399
145.342	160.558
134.5	23.176
168.441	46.392
71.329	101.089
134.251	95.71
129.468	151.157
115.304	59.485
89.456	86.44
116.586	123.207
36.2	76.664
165.156	87.184
137.719	109.411
144.731	81.778
137.14	93.461
106.107	170.076
77.31	51.412
111.959	82.099
30.256	116.627
170.751	88.603
25.222	170.024
86.058	67.152
163.557	132.372
40.089	140.707
116.885	51.47
175.19	79.596
140.981	154.974
72.028	91.732
106.979	71.61
80.287	139.249
81.704	138.753
166.846	54.39
149.087	169.625
38.324	45.084
131.004	22.039
37.265	68.343
136.326	103.466
112.751	130.17
49.144	31.216
123.889	125.489
133.174	112.048
65.517	28.262
168.349	119.883
48.385	32.16
32.154	45.267
161.72	81.006
68.21	66.337
110.264	91.223
59.515	31.054
81.751	139.379
149.423	164.28
168.671	129.431
103.67	170.21
76.714	57.023
102.086	28.154
168.027	128.937
134.866	91.909
156.476	94.437
160.172	86.198
137.922	72.396
160.302	89.409
132.564	154.241
29.004	32.221
70.009	110.387
55.045	113.994
36.022	125.974
66.394	77.016
166.425	124.104
137.067	113.231
33.168	47.374
43.02	119.825
164.787	89.427
144.792	88.316
62.321	147.285
25.168	109.857
31.159	32.288
134.149	147.532
94.633	51.291
60.187	136.874
34.044	139.568
147.272	166.638
37.178	83.302
57.324	30.096
141.191	45.115
110.562	89.211
71.079	57.551
137.969	39.349
136.567	106.393
161.056	51.179
143.807	77.462
118.101	168.419
98.117	57.376
77.604	67.584
51.316	43.024
26.248	32.165
108.693	128.179
66.448	95.799
140.458	109.81
23.197	166.66
64.365	113.959
172.614	47.026
52.32	31.276
58.19	105.647
110.22	72.496
25.044	37.085
57.514	119.218
26.006	111.588
108.987	128.057
120.251	126.539
135.402	20.068
137.749	108.818
145.167	35.257
133.669	149.16
46.207	129.558
170.234	79.261
130.3	106.194
59.41	30.005
171.254	45.045
140.664	46.185
147.971	146.002
170.28	125.797
110.886	79.732
56.105	145.619
139.579	35.34
169.921	130.368
