GENE	SRR1566088	SRR1566089	SRR1566090	SRR1566091	SRR1566092	SRR1566093	SRR1566094	SRR1566095	SRR1566097	SRR1566096	SRR1566098	SRR1566099	SRR1566100	SRR1566101
ENSG00000000003.14	1174	1439	52	2772	676	590	520	780	0	13585	4253	8081	259	0
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0	156	1092	0	0
ENSG00000000419.12	69434	52783	51457	45994	50235	93353	31279	49911	74885	39752	66927	85632	56964	63657
ENSG00000000457.13	19016	14083	23497	34543	15546	15189	8774	9153	17039	30146	33180	39546	7932	38345
ENSG00000000460.16	16507	13488	11041	20136	14432	12426	5499	29500	7562	33069	62571	57403	4120	50486
ENSG00000000938.12	412491	826343	1097380	124328	437534	1023162	61173	427585	1339679	139114	154719	433379	937795	1366399
ENSG00000000971.15	7950	16244	1711	24659	5807	18721	1664	22743	4625	75236	3743	3927	3668	75477
ENSG00000001036.13	25583	46389	50506	26554	35531	76729	25934	37180	44245	54528	56469	44168	54065	115762
ENSG00000001084.10	129867	60155	87050	75551	102450	114167	76086	149079	37457	203494	719671	243742	51315	132590
ENSG00000001167.14	22792	39030	46687	73068	53744	27256	12174	35476	13694	81433	96320	95354	46119	61587
ENSG00000001460.17	5081	4510	2217	12380	3746	5231	2918	10203	1754	13276	6915	18137	1603	10820
ENSG00000001461.16	16022	15739	11914	35707	15338	25235	11364	10001	20444	68693	44077	57320	8970	39013
ENSG00000001497.16	31962	40329	31319	62229	52511	36919	29919	40144	30287	105168	108487	126810	22758	98156
ENSG00000001561.6	56778	25636	231658	29688	46310	18027	17690	20866	39314	41216	27428	55964	6020	25492
ENSG00000001617.11	752	3813	17019	798	719	674	7033	676	676	6430	520	822	1304	312
ENSG00000001626.14	0	0	20	2647	0	0	0	0	0	0	0	621	0	208
ENSG00000001629.9	27516	23653	30222	48328	24261	30067	8773	25504	24543	64489	58140	54382	25768	49392
ENSG00000001630.15	19970	85228	19593	31181	51453	26262	16898	16192	39322	47358	38365	37886	39240	38943
ENSG00000001631.15	13336	19143	43070	48357	27342	30314	7170	44740	18601	48009	104847	71521	18439	51438
ENSG00000002016.17	4107	4005	12426	22671	8779	6442	4649	9385	5409	18980	34236	35659	4459	22871
ENSG00000002079.12	0	55	0	0	83	0	0	0	0	0	0	0	0	0
ENSG00000002330.13	30943	20161	30226	36756	19604	43210	16065	28998	41763	31267	36186	70478	22002	48951
ENSG00000002549.12	278830	103251	50976	68329	47919	175096	52162	31129	496142	224395	145655	163571	83276	206942
ENSG00000002586.18	342750	243951	282969	860647	272406	410915	129504	144875	290721	297528	115591	214788	431245	368260
ENSG00000002586.18_PAR_Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.9	3663	1036	166	62	2311	2597	409	502	2759	142	0	139	12581	3322
ENSG00000002726.20	0	832	1435	206	240	312	312	728	20	1650	52	8212	0	4060
ENSG00000002745.12	104	104	0	364	832	260	0	0	0	186	104	624	0	0
ENSG00000002746.14	0	0	52	51	117	0	0	0	108	520	412	0	20	22
ENSG00000002822.15	20636	28110	26756	50808	34012	23351	28047	23765	14080	43357	41221	61109	18090	74317
ENSG00000002834.17	371213	309186	266476	150756	196857	614525	249450	153864	527325	334192	148591	266659	308131	475892
ENSG00000002919.14	76650	37589	36999	23239	25716	102375	42497	27292	123232	43442	43944	70547	46892	119319
ENSG00000002933.7	42766	152829	405387	1390	54214	37414	25616	28546	249628	39693	9632	68574	77471	512978
ENSG00000003056.7	298430	126596	139040	206508	118650	289610	75190	125158	204782	217026	202474	256880	181823	466610
ENSG00000003096.13	2944	1092	2541	17519	1506	0	52	624	2489	13987	1350	11086	884	5957
ENSG00000003137.8	0	675	0	0	52	0	0	1040	208	310	0	0	147	0
ENSG00000003147.17	5952	20341	16863	55225	34321	25763	8685	27165	30223	51165	17149	26468	11806	15837
ENSG00000003249.13	51	0	35	415	695	0	52	0	0	880	0	0	52	0
ENSG00000003393.14	17680	21640	21450	57431	34254	18508	12930	20738	21254	99764	49297	67663	16571	22824
ENSG00000003400.14	80449	33306	76395	59119	37101	67128	25877	14458	110834	71947	55013	38156	25610	68281
ENSG00000003402.19	319819	209731	354178	211581	317840	345197	152905	185407	457451	247560	139990	187231	248453	285470
ENSG00000003436.14	48308	26742	15746	88179	30163	7475	19010	7384	41590	62361	8952	20595	4115	2129
ENSG00000003509.15	14568	16034	17284	30729	22109	17021	3744	4869	24678	23153	25147	24660	20492	38299
ENSG00000003756.16	179841	184766	231431	211597	265430	151439	132247	124246	164978	250942	363516	207711	192160	291685
ENSG00000003987.13	1456	2417	3699	3085	3838	3599	0	319	842	1532	3119	3938	3438	4026
ENSG00000003989.16	104	4278	2263	104	1603	517	0	2860	51	2704	0	3016	104	361
ENSG00000004059.10	230142	172526	270215	215575	156200	230259	124053	174478	257853	188241	126837	228454	260563	353510
ENSG00000004139.13	15233	13261	23320	65836	14928	17372	17360	4263	15155	67262	19957	27061	4323	42628
ENSG00000004142.11	87730	65948	61435	135724	68040	117653	73501	81522	103573	150800	188700	274307	59541	170161
ENSG00000004399.12	151058	224872	193861	270762	266157	256555	58687	150250	450369	292050	36659	213727	233681	471507
ENSG00000004455.16	146026	104733	89589	286747	117680	155768	63310	102340	113384	218301	349075	345712	39744	421236
ENSG00000004468.12	36847	36257	8927	58784	75510	47018	3164	5394	105474	121227	37654	54503	12658	56130
ENSG00000004478.7	21889	52164	29729	204969	74676	16806	42855	67936	15937	225509	304564	420937	26217	144490
ENSG00000004487.15	77618	87531	93551	122053	106933	84303	87218	75857	80919	141475	187693	172441	61297	144448
ENSG00000004534.14	99792	101210	105900	163045	133697	77286	92136	90694	82563	209007	270437	259607	80080	284651
ENSG00000004660.14	38522	40699	35790	12698	15991	101624	11860	13483	168353	20506	7354	12282	101943	15219
ENSG00000004700.15	55140	40134	44356	54023	39906	66090	17565	54564	57518	63701	94583	87431	42640	114095
ENSG00000004766.15	14047	12038	15593	18062	16834	21551	6434	13403	7767	40859	68436	68241	10849	37802
ENSG00000004776.11	152	260	0	982	676	208	0	1386	52	2907	468	3120	468	624
ENSG00000004777.18	41695	48796	29658	86090	75525	44658	37884	70606	15567	75245	76109	66513	13066	80504
ENSG00000004779.9	48010	28743	30729	53707	21372	54972	25313	49830	40268	78702	101296	115643	32450	97019
ENSG00000004799.7	23935	133021	16166	5291	29634	239611	676	4238	76108	19940	5577	16392	11212	30702
ENSG00000004809.13	34534	22081	24970	34455	42517	28906	4806	87144	14277	53585	170975	160124	5234	39899
ENSG00000004838.13	4261	816	2606	1717	2012	1135	999	7209	900	2899	5626	2935	1087	5952
ENSG00000004846.16	413	156	0	156	1375	99	640	0	0	1559	5579	832	0	260
ENSG00000004848.7	90	0	43	0	0	103	0	0	0	364	0	0	0	0
ENSG00000004864.13	33435	27770	25078	19460	19487	40033	19286	18070	32450	36702	35698	42464	29029	24670
ENSG00000004866.19	37285	31453	23598	62849	47306	39507	18864	29455	27235	35869	98181	72370	17598	52740
ENSG00000004897.11	160836	84599	87666	44817	78997	142334	62874	169546	87144	162058	526542	443849	68173	89167
ENSG00000004939.13	3861878	1520737	868258	462465	2994733	2781214	2474217	3869197	173784	4598338	14180987	10163570	357042	669362
ENSG00000004948.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961.14	48995	19693	37095	13185	33104	50211	23114	32507	50938	46973	61114	76252	17545	40657
ENSG00000004975.11	33263	31532	14165	69571	38677	26895	34227	40995	35172	81704	43737	73973	15274	60955
ENSG00000005001.9	1933	520	104	0	0	214	55	0	156	0	208	0	52	0
ENSG00000005007.12	147847	101786	135940	90493	104034	139995	103619	80558	192408	190167	190072	203194	114126	144143
ENSG00000005020.12	21720	73477	47162	96411	94146	60610	32160	62901	34283	117209	71081	128754	38231	200811
ENSG00000005022.5	804639	385829	605664	403658	521276	1108074	273483	335949	632908	584499	446268	709084	364454	814172
ENSG00000005059.15	119306	80812	95517	26024	17147	168305	15905	70938	177684	62115	44983	55373	118093	149875
ENSG00000005073.5	0	52	0	0	0	0	3250	0	0	208	7519	0	0	0
ENSG00000005075.15	89584	56069	60201	50930	43458	82117	34658	53596	74831	68601	85137	97671	62882	109379
ENSG00000005100.12	11773	11100	5640	46884	12365	9366	8863	15437	13694	52098	53770	47965	5565	39800
ENSG00000005102.12	206	312	0	52	0	233	0	0	884	1144	416	0	0	0
ENSG00000005108.15	29	900	4515	9841	415	29	0	0	0	4686	21	4091	156	518
ENSG00000005156.11	56780	52048	62614	77096	80479	48165	33565	34949	54011	64697	104086	87238	48684	68147
ENSG00000005175.9	24490	25691	8208	42310	23280	32731	14229	12605	22591	54916	54775	46853	13992	46605
ENSG00000005187.11	19444	14150	7411	91329	26133	29227	13020	24309	41265	45713	41911	63012	4037	50149
ENSG00000005189.19	7843	12450	9333	37738	47526	17660	12992	13081	9684	53394	67264	76963	4789	30470
ENSG00000005194.14	63109	39538	68123	47411	33439	82490	38090	19710	71366	79288	74510	105866	40849	70263
ENSG00000005206.16	48622	80493	90666	229847	138873	42578	66463	34638	76638	217740	88573	97568	60507	96540
ENSG00000005238.19	158034	129134	181727	52934	126981	138831	124966	90723	253592	182820	205192	235042	187114	106924
ENSG00000005243.9	465	4350	8584	2192	1756	2648	2763	6707	1294	6269	11095	6858	1869	13362
ENSG00000005249.12	80979	74881	394231	39930	44006	86581	87861	103159	126731	118020	331845	277885	25694	83538
ENSG00000005302.17	91046	82148	85941	46238	52238	78324	41085	53883	117445	80090	56343	67133	72058	138592
ENSG00000005339.14	347378	217781	236165	140352	276176	313336	119525	133369	319764	239158	236575	202787	295524	152271
ENSG00000005379.15	101265	94953	90416	70482	1034120	37869	96932	51730	62567	269654	47780	101624	48360	320865
ENSG00000005381.7	1921860	803287	1296634	76091	6939360	2227294	315975	445412	1425952	3010072	238893	3582995	823508	2075514
ENSG00000005421.8	0	52	0	518	0	0	0	0	0	156	0	0	0	0
ENSG00000005436.13	14336	17238	11276	39361	22384	17227	18060	22374	13372	37394	34852	45717	11107	21527
ENSG00000005448.16	7511	8481	9035	33501	8411	6139	6456	5939	4811	23832	6957	14639	3952	34344
ENSG00000005469.11	3112	3949	11695	11769	3061	2739	988	4367	4133	12853	8346	5971	3988	12797
ENSG00000005471.15	1404	1990	1982	2928	1508	8119	1721	5877	824	6892	2272	6414	1108	9731
ENSG00000005483.20	358136	270638	326798	137007	448185	287102	193515	111093	268230	261734	193186	164472	297750	128131
ENSG00000005486.16	136089	55005	169892	48407	45016	141229	51057	23141	145870	58934	35183	53829	92646	88991
ENSG00000005513.9	207	104	104	42	104	0	780	0	0	1768	52	0	156	0
ENSG00000005700.14	62934	33095	51485	62849	45176	64070	22731	29868	64310	71879	70963	69541	56226	77699
ENSG00000005801.16	23372	16233	17030	40402	27035	22191	18182	31444	19213	40615	35491	30648	16207	34172
ENSG00000005810.17	121678	127266	215783	200076	176342	167065	69356	58193	170707	235545	115960	118405	133910	141882
ENSG00000005812.10	130820	152981	243791	71090	145211	241008	64480	52846	175695	106054	122396	83581	126222	88391
ENSG00000005844.17	156667	217441	243708	119294	112308	226234	112928	209595	261427	498041	138380	129285	190054	421623
ENSG00000005882.11	10948	11742	10649	39860	5181	23787	19383	23935	10505	32976	21403	39586	9691	37841
ENSG00000005884.17	3224	783	1758	2288	533	724	1922	0	1551	11804	1149	260	2128	4778
ENSG00000005889.15	56088	66652	66527	49518	73032	89304	27075	25955	80965	53783	54802	34510	48869	27209
ENSG00000005893.15	300842	231461	217879	297969	295916	364135	73749	105632	369170	173835	161929	225404	193303	310301
ENSG00000005961.17	17473	83881	7634	112851	35982	17474	241373	17203	234916	219654	31621	148542	37008	42251
ENSG00000005981.12	0	0	0	0	175	0	0	0	0	0	0	0	0	0
ENSG00000006007.11	232973	84125	84854	108283	114834	225883	191075	57261	205305	219406	185300	128856	78652	91403
ENSG00000006015.17	39355	36799	42033	116239	38605	64040	33894	69571	64673	98693	40948	104983	46759	116618
ENSG00000006016.10	37554	9438	16656	14785	16419	23657	9464	10891	18216	8437	23727	12901	15206	15726
ENSG00000006025.11	27181	26170	47691	39110	40632	27980	20784	12310	34900	47488	21647	32347	39151	50155
ENSG00000006042.11	12063	13125	1038	160595	7564	52	884	45198	4862	6032	101587	77912	1819	6314
ENSG00000006047.12	1101	1091	312	74	3146	3115	3416	6349	52	1835	4070	9686	422	1507
ENSG00000006059.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.13	121078	91163	58501	41045	23917	120741	31654	18500	145437	76357	20295	25904	145862	75217
ENSG00000006071.12	0	208	218	0	0	104	0	0	0	0	0	0	0	0
ENSG00000006116.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.14	9494	4098	7965	546	1506	4222	676	11170	3088	3068	528	1800	4819	5468
ENSG00000006125.16	138232	177063	88439	255545	194203	151476	274070	194923	116540	482063	724141	739890	82890	227608
ENSG00000006128.11	0	0	0	0	0	0	0	360	0	0	0	0	0	0
ENSG00000006194.9	57857	31524	45856	83077	31427	48850	27023	32313	53757	85175	56994	82825	35828	80900
ENSG00000006210.6	52	260	156	0	21	104	0	0	102	3172	52	52	0	0
ENSG00000006282.20	38391	51690	99614	136001	82774	86197	63831	44076	41864	118419	64269	35587	52097	164269
ENSG00000006283.17	52	52	355	0	21	385	728	0	20	0	0	22	192	78
ENSG00000006327.13	28615	33349	64153	669	15212	25047	25368	11379	17069	19729	1136	5813	33113	2815
ENSG00000006377.10	104	104	0	0	103	90	34	0	96	618	0	0	0	100
ENSG00000006432.15	3758	1674	3430	1080	1967	1248	6480	2216	3821	5995	156	3557	1559	656
ENSG00000006451.7	90769	24230	100879	65141	29714	37578	16293	21937	80597	53153	27216	43927	88281	68782
ENSG00000006453.13	13202	6965	2236	2806	1613	24863	780	8837	25739	3788	5168	4602	11897	1930
ENSG00000006459.10	192963	126170	122768	31472	72085	171278	37755	58053	161195	136430	351720	117986	261164	98344
ENSG00000006468.13	0	52	0	208	0	3487	0	0	208	1455	0	884	727	1768
ENSG00000006530.15	25014	16667	22339	52889	18601	20597	10627	5301	16703	43380	29199	31763	16870	54242
ENSG00000006534.15	93533	105411	165429	86470	86881	272266	20826	92863	225155	62823	57019	162996	131678	307876
ENSG00000006555.10	1210	560	1508	9967	1089	49	934	0	728	7831	1251	1947	468	1727
ENSG00000006576.16	58110	43492	52341	19766	33975	85076	26993	38291	61168	50313	37531	37906	30330	50147
ENSG00000006606.8	0	161	260	52	0	104	0	0	312	0	0	0	780	156
ENSG00000006607.13	38369	24126	18443	18820	13662	27439	18536	20540	41739	40494	47570	31537	29738	21492
ENSG00000006611.15	0	0	0	0	0	0	0	184	0	0	0	0	0	0
ENSG00000006625.17	44813	32851	21337	73108	46772	62517	22609	28376	19947	71732	68817	81628	20961	98526
ENSG00000006634.7	64813	38756	39569	16338	57223	78038	33518	43035	36180	39604	93341	61453	24071	35887
ENSG00000006638.11	104	985	615	5724	1186	9	382	2	4181	5241	161	1380	1190	52
ENSG00000006652.13	67335	93502	125261	60479	247519	76608	63970	70108	61282	99119	81720	73337	105849	58569
ENSG00000006659.12	0	0	0	0	0	52	0	0	0	0	0	0	0	466
ENSG00000006695.10	10191	11188	3428	17478	9562	11220	5232	4157	10304	30203	23734	27739	10237	21552
