Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu04110:Cell cycle	14	18.666666666666668	7.451011291351348E-16	E2F1, CDC6, E2F3, RBL1, PRKDC, PKMYT1, MCM2, MCM4, CDC25A, SMC3, MCM6, MCM7, SMC1A, MYC	26	128	5738	24.138221153846153	3.0309088572266774E-14	3.0309088572266774E-14	7.105427357601002E-13
GOTERM_BP_FAT	GO:0007049~cell cycle	19	25.333333333333336	3.686000231166988E-11	E2F1, CDC6, E2F3, GMNN, RBL1, HCFC1, PKMYT1, TOPBP1, MCM2, DAXX, SMC2, SMC3, CDC25A, RAD51, MCM6, MCM7, CASP8AP2, HAUS7, SMC1A	59	611	13588	7.161696579655469	1.8909159016367028E-8	1.8909159016367028E-8	5.327140950583953E-8
SP_PIR_KEYWORDS	cell cycle	16	21.333333333333336	4.972848050345079E-11	E2F1, CDC6, E2F3, GMNN, RBL1, HCFC1, PKMYT1, MCM2, SMC2, SMC3, CDC25A, MCM6, MCM7, CASP8AP2, HAUS7, SMC1A	66	447	17854	9.682868958036744	5.519857237956671E-9	5.519857237956671E-9	5.627820431897135E-8
SP_PIR_KEYWORDS	nucleus	39	52.0	7.86876618568332E-11	E2F1, E2F3, ARID4B, EZH2, PRKDC, HCFC1, CTCF, DAXX, CBX5, RPA2, DDX17, MCM7, CASP8AP2, INTS7, TNPO2, MYC, CDC6, GM5643, DTL, RBL1, TOPBP1, MCM2, HNRNPA1, SMC2, MCM4, ATXN7L3, MXD3, SMC3, MCM6, MYCN, RAD51, HUWE1, RFC1, KDM2A, CSRNP1, DDB2, CPSF7, USP49, ASNA1, SMC1A	66	3808	17854	2.7705070664629488	8.734324929982051E-9	4.3671624094798744E-9	8.90515883256171E-8
GOTERM_BP_FAT	GO:0006259~DNA metabolic process	16	21.333333333333336	1.598026592039522E-10	CDC6, DTL, PRKDC, TOPBP1, CTCF, MCM2, MCM4, SMC3, RAD51, MCM6, RPA2, MCM7, RFC1, DDB2, SMC1A, MYC	59	421	13588	8.752687306252264	8.197873846427228E-8	4.098937000929226E-8	2.309528013277884E-7
GOTERM_BP_FAT	GO:0051276~chromosome organization	14	18.666666666666668	1.096251640407836E-8	EZH2, ARID4B, RBL1, PRKDC, CTCF, MCM2, SMC2, ATXN7L3, SMC3, CBX5, KDM2A, HUWE1, PHF15, SMC1A	59	404	13588	7.980869273368015	5.623755156336507E-6	1.8745885662641015E-6	1.5843443534890866E-5
SP_PIR_KEYWORDS	dna replication	8	10.666666666666668	2.4010651174855318E-8	RPA2, CDC6, MCM7, RFC1, DTL, MCM2, MCM4, MCM6	66	85	17854	25.460249554367202	2.665178756244835E-6	8.883937080428339E-7	2.717310144673135E-5
SP_PIR_KEYWORDS	acetylation	27	36.0	4.918323660116221E-8	HCFC1, PRKDC, 2310036O22RIK, RPA2, MCM7, GGPS1, TNPO2, CASP2, MYC, DLST, GM5643, GMNN, TOPBP1, MCM2, GSE1, MCM4, SMC2, HNRNPA1, SMC3, CTDSPL2, MCM6, HUWE1, RFC1, PHF15, DDB2, NUTF2, ASNA1, SMC1A	66	2325	17854	3.141466275659824	5.459324494028195E-6	1.364833917660846E-6	5.566116872968152E-5
GOTERM_BP_FAT	GO:0006268~DNA unwinding during replication	5	6.666666666666667	9.643968511356315E-8	MCM7, MCM2, MCM4, MCM6, RAD51	59	11	13588	104.68412942989214	4.9472337059097704E-5	1.23683137256414E-5	1.3937820155796032E-4
SP_PIR_KEYWORDS	phosphoprotein	45	60.0	1.0840212752829257E-7	E2F1, SNCB, ARID4B, EZH2, PKMYT1, PRKDC, HCFC1, CTCF, DAXX, CBX5, 2310036O22RIK, RPA2, DDX17, MCM7, PVRL1, INTS7, TRAM1, MYC, SIK2, CDC6, KCND2, GM5643, FBXL20, DTL, GMNN, RBL1, FAM176B, TOPBP1, AP4M1, MCM2, GSE1, HNRNPA1, MCM4, SMC3, ATXN7L3, CDC25A, MCM6, MYCN, CTDSPL2, RAD51, HUWE1, RFC1, KDM2A, CPSF7, MFSD11, SMC1A	66	6311	17854	1.9288831909652697	1.2032564412400859E-5	2.4065244651483297E-6	1.226797519571221E-4
GOTERM_BP_FAT	GO:0032508~DNA duplex unwinding	5	6.666666666666667	1.441997115444411E-7	MCM7, MCM2, MCM4, MCM6, RAD51	59	12	13588	95.96045197740114	7.397172129286478E-5	1.479478202326412E-5	2.0840269202571093E-4
GOTERM_BP_FAT	GO:0032392~DNA geometric change	5	6.666666666666667	2.0762645272699944E-7	MCM7, MCM2, MCM4, MCM6, RAD51	59	13	13588	88.57887874837027	1.0650670904888138E-4	1.775190598152232E-5	3.0006920794800607E-4
GOTERM_CC_FAT	GO:0005654~nucleoplasm	13	17.333333333333336	2.128928273495312E-7	E2F1, E2F3, GM5643, EZH2, RBL1, CTCF, DAXX, HNRNPA1, ATXN7L3, CBX5, KDM2A, INTS7, USP49, MYC	41	599	12504	6.618836271835173	2.4482378054968557E-5	2.4482378054968557E-5	2.4250198529252032E-4
GOTERM_CC_FAT	GO:0005694~chromosome	11	14.666666666666666	2.134569422583145E-7	RPA2, RFC1, ARID4B, TOPBP1, MCM2, SMC1A, SMC2, DAXX, SMC3, CBX5, RAD51	41	378	12504	8.874951606658925	2.45472496880339E-5	1.227370016587681E-5	2.4314455661089696E-4
GOTERM_BP_FAT	GO:0006260~DNA replication	9	12.0	2.4336837445810297E-7	RPA2, CDC6, MCM7, RFC1, DTL, MCM2, MCM4, MCM6, RAD51	59	152	13588	13.636485280999109	1.2484019810021785E-4	1.7835268276367167E-5	3.5172463266341936E-4
KEGG_PATHWAY	mmu03030:DNA replication	6	8.0	3.0542091908466946E-7	RPA2, MCM7, RFC1, MCM2, MCM4, MCM6	26	35	5738	37.832967032967034	1.1911346723625371E-5	5.95569109695937E-6	2.7774776713007654E-4
GOTERM_MF_FAT	GO:0003677~DNA binding	22	29.333333333333332	3.7859400600408204E-7	E2F1, E2F3, GM5643, ARID4B, EZH2, PRKDC, CTCF, TOPBP1, MCM2, MCM4, HNRNPA1, MXD3, RAD51, MCM6, MYCN, RPA2, MCM7, HUWE1, KDM2A, RFC1, CSRNP1, DDB2, MYC	50	1781	13288	3.282829870859068	5.224461792507906E-5	5.224461792507906E-5	4.455748254805769E-4
INTERPRO	IPR001208:DNA-dependent ATPase MCM	4	5.333333333333334	1.8287528598772542E-6	MCM7, MCM2, MCM4, MCM6	59	8	17763	150.53389830508473	3.144963151827662E-4	3.144963151827662E-4	0.0022354298604865264
INTERPRO	IPR018525:DNA-dependent ATPase MCM, conserved site	4	5.333333333333334	1.8287528598772542E-6	MCM7, MCM2, MCM4, MCM6	59	8	17763	150.53389830508473	3.144963151827662E-4	3.144963151827662E-4	0.0022354298604865264
GOTERM_CC_FAT	GO:0031981~nuclear lumen	14	18.666666666666668	1.9934986434594255E-6	E2F1, E2F3, GM5643, EZH2, RBL1, CTCF, DAXX, HNRNPA1, SMC3, ATXN7L3, CBX5, KDM2A, INTS7, USP49, MYC	41	883	12504	4.83540038118388	2.2922629614618995E-4	7.641460442509018E-5	0.0022707336483129836
SMART	SM00350:MCM	4	5.333333333333334	3.109785698289533E-6	MCM7, MCM2, MCM4, MCM6	37	8	9131	123.3918918918919	1.1505563033931132E-4	1.1505563033931132E-4	0.002792290427600097
UP_SEQ_FEATURE	domain:MCM	4	5.333333333333334	3.2000389796655925E-6	MCM7, MCM2, MCM4, MCM6	64	8	16021	125.1640625	9.147939332234678E-4	9.147939332234678E-4	0.004244960529165009
GOTERM_CC_FAT	GO:0044427~chromosomal part	9	12.0	6.061693909313363E-6	RPA2, RFC1, ARID4B, MCM2, SMC1A, DAXX, SMC3, CBX5, RAD51	41	318	12504	8.631385181776345	6.968539967575627E-4	1.7425904321921593E-4	0.006904545157049302
SP_PIR_KEYWORDS	transcription regulation	19	25.333333333333336	6.517574136378841E-6	E2F1, E2F3, RBL1, EZH2, ARID4B, CTCF, MCM2, DAXX, MCM4, MXD3, ATXN7L3, MCM6, MCM7, KDM2A, CASP8AP2, RFC1, CSRNP1, USP49, MYC	66	1546	17854	3.3245717197851743	7.23191457632888E-4	1.2056824551831546E-4	0.007375758777294905
GOTERM_BP_FAT	GO:0006325~chromatin organization	10	13.333333333333334	6.7664175639791E-6	HUWE1, KDM2A, ARID4B, EZH2, PHF15, RBL1, CTCF, MCM2, ATXN7L3, CBX5	59	315	13588	7.311272531611515	0.003465166359818417	4.3380387414126975E-4	0.009778638333535206
SP_PIR_KEYWORDS	dna-binding	18	24.0	7.530814120122757E-6	E2F1, E2F3, ARID4B, TOPBP1, CTCF, MCM2, MCM4, MXD3, RAD51, MCM6, MYCN, MCM7, HUWE1, KDM2A, RFC1, CSRNP1, DDB2, MYC	66	1404	17854	3.468142968142968	8.355742281964673E-4	1.194105149862068E-4	0.008522369958374743
GOTERM_BP_FAT	GO:0006270~DNA replication initiation	4	5.333333333333334	8.67082486616212E-6	MCM7, MCM2, MCM4, MCM6	59	10	13588	92.12203389830508	0.004438274063119141	4.941170440472265E-4	0.012530674251498564
GOTERM_BP_FAT	GO:0006261~DNA-dependent DNA replication	5	6.666666666666667	1.2596789865151922E-5	MCM7, MCM2, MCM4, MCM6, RAD51	59	34	13588	33.86839481555334	0.0064413588316161174	6.460106354578832E-4	0.018203816218764768
GOTERM_CC_FAT	GO:0044451~nucleoplasm part	10	13.333333333333334	2.6900455737826746E-5	E2F1, E2F3, INTS7, EZH2, RBL1, USP49, DAXX, MYC, ATXN7L3, CBX5	41	513	12504	5.944943659962915	0.0030888137882383315	6.185274369067129E-4	0.03063752588088331
GOTERM_CC_FAT	GO:0070013~intracellular organelle lumen	14	18.666666666666668	3.0418130401935976E-5	E2F1, E2F3, GM5643, EZH2, RBL1, CTCF, DAXX, HNRNPA1, SMC3, ATXN7L3, CBX5, KDM2A, INTS7, USP49, MYC	41	1133	12504	3.7684541364389816	0.003492026842673357	5.828531084137722E-4	0.034643250484689414
GOTERM_CC_FAT	GO:0043233~organelle lumen	14	18.666666666666668	3.128448024870802E-5	E2F1, E2F3, GM5643, EZH2, RBL1, CTCF, DAXX, HNRNPA1, SMC3, ATXN7L3, CBX5, KDM2A, INTS7, USP49, MYC	41	1136	12504	3.7585022329096534	0.003591307280786271	5.138352994171758E-4	0.03562977714868243
INTERPRO	IPR012340:Nucleic acid-binding, OB-fold	5	6.666666666666667	3.8066617836466874E-5	RPA2, MCM7, MCM2, MCM4, MCM6	59	58	17763	25.954120397428404	0.0065261941768910425	0.0032684384333417915	0.04652238845663792
GOTERM_CC_FAT	GO:0000228~nuclear chromosome	6	8.0	3.9194013098378554E-5	RPA2, TOPBP1, MCM2, SMC3, CBX5, RAD51	41	121	12504	15.12275750856682	0.004497256757146184	5.632662857558701E-4	0.04463608021769705
SP_PIR_KEYWORDS	Transcription	19	25.333333333333336	4.093064559836755E-5	E2F1, E2F3, RBL1, EZH2, ARID4B, CTCF, MCM2, DAXX, MCM4, MXD3, ATXN7L3, MCM6, MCM7, KDM2A, CASP8AP2, RFC1, CSRNP1, USP49, MYC	66	1769	17854	2.9054764718981794	0.004533089040031912	5.677630920144505E-4	0.04631186013333011
UP_SEQ_FEATURE	nucleotide phosphate-binding region:ATP	14	18.666666666666668	4.202385814593355E-5	CDC6, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	64	907	16021	3.8639401874310915	0.011947135390046992	0.005991516831997501	0.055732805844743716
GOTERM_CC_FAT	GO:0031974~membrane-enclosed lumen	14	18.666666666666668	4.429921089737453E-5	E2F1, E2F3, GM5643, EZH2, RBL1, CTCF, DAXX, HNRNPA1, SMC3, ATXN7L3, CBX5, KDM2A, INTS7, USP49, MYC	41	1174	12504	3.636847135081232	0.005081567027285683	5.658978300207007E-4	0.050448793876778364
SP_PIR_KEYWORDS	DNA damage	7	9.333333333333334	7.386559438113619E-5	DTL, DDB2, PRKDC, TOPBP1, SMC1A, SMC3, RAD51	66	194	17854	9.760855982505467	0.008165860544748327	9.106277717831901E-4	0.08356261961272038
INTERPRO	IPR010935:SMCs flexible hinge	3	4.0	1.5585896149213302E-4	SMC1A, SMC2, SMC3	59	6	17763	150.53389830508476	0.02645363745503282	0.008896797419927216	0.19035418715247499
PIR_SUPERFAMILY	PIRSF005719:structural maintenance of chromosomes protein	3	4.0	1.6819131366645814E-4	SMC1A, SMC2, SMC3	35	5	8136	139.4742857142857	0.007039733462852915	0.007039733462852915	0.1555527495983422
GOTERM_MF_FAT	GO:0043566~structure-specific DNA binding	5	6.666666666666667	1.7225529056955465E-4	GM5643, MCM7, MCM4, HNRNPA1, MYC, MCM6	50	76	13288	17.48421052631579	0.0234929194005693	0.011816271840387582	0.20254316195990052
SP_PIR_KEYWORDS	atp-binding	15	20.0	1.787887526006844E-4	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	66	1287	17854	3.1528572437663342	0.019651664250705636	0.001982764303757989	0.20215058964160315
GOTERM_BP_FAT	GO:0000279~M phase	8	10.666666666666668	1.912930680386476E-4	CDC6, HAUS7, TOPBP1, SMC1A, SMC2, SMC3, CDC25A, RAD51	59	283	13588	6.510391088219441	0.0934804941111157	0.008882382946413747	0.27610856319486565
GOTERM_MF_FAT	GO:0003697~single-stranded DNA binding	4	5.333333333333334	2.3785178565773028E-4	GM5643, MCM7, MCM4, HNRNPA1, MCM6	50	33	13288	32.21333333333333	0.03229447781791561	0.01088283233917331	0.2795748302815926
GOTERM_BP_FAT	GO:0022402~cell cycle process	9	12.0	2.465255088922485E-4	CDC6, HAUS7, TOPBP1, SMC1A, SMC2, DAXX, SMC3, CDC25A, RAD51	59	393	13588	5.27416224608617	0.11881102666266774	0.010484910842205819	0.3556978342890704
GOTERM_BP_FAT	GO:0006350~transcription	19	25.333333333333336	2.788447868875356E-4	E2F1, E2F3, RBL1, EZH2, ARID4B, CTCF, MCM2, DAXX, MCM4, MXD3, ATXN7L3, MCM6, MCM7, KDM2A, CASP8AP2, RFC1, CSRNP1, USP49, MYC	59	1772	13588	2.469411179553889	0.13330428196173916	0.010944843279829697	0.40224209346162443
INTERPRO	IPR003395:RecF/RecN/SMC protein, N-terminal	3	4.0	2.8971614103382945E-4	SMC1A, SMC2, SMC3	59	8	17763	112.90042372881356	0.0486168406930968	0.012382299594186907	0.3535714527982181
GOTERM_MF_FAT	GO:0030528~transcription regulator activity	14	18.666666666666668	3.1283576921088875E-4	E2F1, E2F3, EZH2, HCFC1, DAXX, ATXN7L3, MXD3, CBX5, MYCN, CASP8AP2, RFC1, CSRNP1, USP49, MYC	50	1206	13288	3.085107794361526	0.042259189497702576	0.010736470791541275	0.3675638243257784
UP_SEQ_FEATURE	region of interest:Flexible hinge	3	4.0	3.155606061843846E-4	SMC1A, SMC2, SMC3	64	7	16021	107.28348214285714	0.08631058708336414	0.02964004823925226	0.41780092607290875
GOTERM_CC_FAT	GO:0044454~nuclear chromosome part	5	6.666666666666667	3.1597321197146945E-4	RPA2, MCM2, SMC3, CBX5, RAD51	41	103	12504	14.804641250296	0.03569019481955482	0.003627670181023279	0.35932893653529696
SP_PIR_KEYWORDS	activator	9	12.0	3.5814741939483544E-4	E2F1, E2F3, RFC1, CASP8AP2, CSRNP1, USP49, CTCF, MYC, ATXN7L3	66	484	17854	5.030240420736288	0.03898137006808333	0.0036081552904009273	0.4045711735314539
