	sizeFactor	experiment	patient	treatment	time	submission	study	sample	run
SRR479052	NA	SRX140503	1	Control	24h	SRA051611	SRP012167	SRS308865	SRR479052
SRR479053	NA	SRX140504	1	Control	48h	SRA051611	SRP012167	SRS308866	SRR479053
SRR479054	NA	SRX140505	1	DPN	24h	SRA051611	SRP012167	SRS308867	SRR479054
SRR479055	NA	SRX140506	1	DPN	48h	SRA051611	SRP012167	SRS308868	SRR479055
SRR479056	NA	SRX140507	1	OHT	24h	SRA051611	SRP012167	SRS308869	SRR479056
SRR479057	NA	SRX140508	1	OHT	48h	SRA051611	SRP012167	SRS308870	SRR479057
SRR479058	NA	SRX140509	2	Control	24h	SRA051611	SRP012167	SRS308871	SRR479058
SRR479059	NA	SRX140510	2	Control	48h	SRA051611	SRP012167	SRS308872	SRR479059
SRR479060	NA	SRX140511	2	DPN	24h	SRA051611	SRP012167	SRS308873	SRR479060
SRR479061	NA	SRX140511	2	DPN	24h	SRA051611	SRP012167	SRS308873	SRR479061
SRR479062	NA	SRX140512	2	DPN	48h	SRA051611	SRP012167	SRS308874	SRR479062
SRR479063	NA	SRX140513	2	OHT	24h	SRA051611	SRP012167	SRS308875	SRR479063
SRR479064	NA	SRX140513	2	OHT	24h	SRA051611	SRP012167	SRS308875	SRR479064
SRR479065	NA	SRX140514	2	OHT	48h	SRA051611	SRP012167	SRS308876	SRR479065
SRR479066	NA	SRX140515	3	Control	24h	SRA051611	SRP012167	SRS308877	SRR479066
SRR479067	NA	SRX140516	3	Control	48h	SRA051611	SRP012167	SRS308878	SRR479067
SRR479068	NA	SRX140517	3	DPN	24h	SRA051611	SRP012167	SRS308879	SRR479068
SRR479069	NA	SRX140518	3	DPN	48h	SRA051611	SRP012167	SRS308880	SRR479069
SRR479070	NA	SRX140519	3	OHT	24h	SRA051611	SRP012167	SRS308881	SRR479070
SRR479071	NA	SRX140520	3	OHT	48h	SRA051611	SRP012167	SRS308882	SRR479071
SRR479072	NA	SRX140521	4	Control	48h	SRA051611	SRP012167	SRS308883	SRR479072
SRR479073	NA	SRX140522	4	DPN	24h	SRA051611	SRP012167	SRS308884	SRR479073
SRR479074	NA	SRX140523	4	DPN	48h	SRA051611	SRP012167	SRS308885	SRR479074
SRR479075	NA	SRX140523	4	DPN	48h	SRA051611	SRP012167	SRS308885	SRR479075
SRR479076	NA	SRX140524	4	OHT	24h	SRA051611	SRP012167	SRS308886	SRR479076
SRR479077	NA	SRX140525	4	OHT	48h	SRA051611	SRP012167	SRS308887	SRR479077
SRR479078	NA	SRX140525	4	OHT	48h	SRA051611	SRP012167	SRS308887	SRR479078
