RPS13	ENSG00000110700
RPL27	ENSG00000131469
EEF1A1	ENSG00000156508
RPS20	ENSG00000008988
RPLP1	ENSG00000137818
TPT1	ENSG00000133112
RPS4X	ENSG00000198034
RPL30	ENSG00000156482
RPL13A	ENSG00000142541
RPL39	ENSG00000198918
RPL9	ENSG00000163682
SRP14	ENSG00000140319
RPS27	ENSG00000177954
UBC	ENSG00000150991
RPS23	ENSG00000186468
RPL24	ENSG00000114391
RPL22	ENSG00000116251
RPS29	ENSG00000213741
RPS16	ENSG00000105193
RPL4	ENSG00000174444
RPL6	ENSG00000089009
OAZ1	ENSG00000104904
RPS12	ENSG00000112306
RPL37	ENSG00000145592
RPL32	ENSG00000144713
RPL7A	ENSG00000148303
UBA52	ENSG00000221983
RPL19	ENSG00000108298
RPSA	ENSG00000168028
RPS15	ENSG00000115268
RPL23A	ENSG00000198242
FAU	ENSG00000149806
ACTG1	ENSG00000184009
RPLP0	ENSG00000089157
VAPA	ENSG00000101558
RPS24	ENSG00000138326
RPS18	ENSG00000096150
TXNL1	ENSG00000091164
EEF2	ENSG00000167658
H3F3A	ENSG00000163041
SLC25A3	ENSG00000075415
CALM2	ENSG00000143933
HNRPK	NA
PARK7	ENSG00000116288
RPL12	ENSG00000197958
HMGN2	ENSG00000198830
ATP5A1	ENSG00000152234
EIF3S6IP	NA
RPS15A	ENSG00000134419
CFL1	ENSG00000172757
RPS17	ENSG00000184779
PSMA1	ENSG00000129084
RPS3	ENSG00000149273
C1orf77	NA
UBE2D3	ENSG00000109332
PUM1	ENSG00000134644
ACTB	LRG_132
PPP2CA	ENSG00000113575
WBSCR1	NA
SNX3	ENSG00000112335
LOC130773	NA
RPS10	ENSG00000124614
SKP1A	NA
STAU	NA
ZNF9	NA
PTGES3	ENSG00000110958
ATP5F1	ENSG00000116459
HSPC016	NA
RPS7	ENSG00000171863
ATP5E	ENSG00000124172
RHOA	ENSG00000067560
JTB	ENSG00000143543
RPS25	ENSG00000262088
RPS3A	ENSG00000145425
EIF4A2	ENSG00000156976
SET	ENSG00000119335
PITPNB	ENSG00000180957
UBE2Q1	ENSG00000160714
KHDRBS1	ENSG00000121774
HBXIP	NA
RPL13	ENSG00000167526
NACA	ENSG00000196531
PSMB4	ENSG00000159377
RPL3	ENSG00000100316
SF3B1	ENSG00000115524
CNOT1	ENSG00000125107
POLR2B	ENSG00000047315
COX7A2L	ENSG00000115944
RPS27A	ENSG00000143947
CSNK1A1	ENSG00000113712
DDX5	ENSG00000263077
WIPI-2	NA
ANAPC5	ENSG00000272204
TNFSF5IP1	NA
POLR2C	ENSG00000102978
RPL8	ENSG00000161016
PSMC1	ENSG00000100764
C14orf166	ENSG00000087302
RPL17	ENSG00000265681
RPS9	ENSG00000263332
ZC3H11A	ENSG00000058673
STRAP	ENSG00000023734
HMGB1	ENSG00000189403
C13orf12	NA
NHP2L1	ENSG00000100138
ZNF207	ENSG00000010244
RAC1	ENSG00000136238
PTP4A2	ENSG00000184007
ATP5L	ENSG00000268551
KARS	LRG_366
DIABLO	ENSG00000184047
RPL15	ENSG00000174748
GHITM	ENSG00000165678
SMAP	NA
C2orf25	NA
CHCHD2	ENSG00000106153
VDAC2	ENSG00000165637
ST13	ENSG00000100380
C6orf49	NA
EIF3S6	NA
GDI2	ENSG00000057608
FAM32A	ENSG00000105058
HSPCA	NA
SRRM1	ENSG00000133226
EIF3S12	NA
COX7A2	ENSG00000112695
TEGT	NA
Sep-02	NA
ATXN10	ENSG00000130638
MAML1	ENSG00000161021
UBB	ENSG00000170315
CCNI	ENSG00000118816
EIF3S5	NA
EIF3S3	NA
COPB	NA
SON	ENSG00000159140
EIF1	ENSG00000173812
RPL38	ENSG00000172809
GAPDH	ENSG00000111640
ANXA7	ENSG00000138279
PHB2	ENSG00000269079
XRCC5	ENSG00000079246
NCL	ENSG00000115053
NARS	ENSG00000134440
TRAPPC3	ENSG00000054116
SFRS4	NA
MORF4L1	ENSG00000185787
EEF1B2	ENSG00000114942
HSPA8	ENSG00000109971
LARP1	ENSG00000155506
C14orf92	NA
HSPC117	NA
FTHP1	NA
MATR3	ENSG00000015479
RPS2	ENSG00000140988
PSMD1	ENSG00000173692
RPS6	ENSG00000137154
PSMC2	ENSG00000161057
YWHAQ	ENSG00000134308
KIAA0174	NA
ATF4	ENSG00000128272
PPP1CC	ENSG00000186298
ATP5C1	ENSG00000165629
CUGBP1	NA
GORASP2	ENSG00000115806
RPL10A	ENSG00000198755
H2AFV	ENSG00000105968
LDHA	ENSG00000134333
UBE2A	ENSG00000077721
KCMF1	ENSG00000176407
SNW1	ENSG00000100603
DNCL2A	NA
YME1L1	ENSG00000136758
SPG21	ENSG00000090487
TOMM7	ENSG00000196683
B2M	ENSG00000166710
K-ALPHA-1	NA
CTBP1	ENSG00000159692
MTCH1	ENSG00000137409
DAZAP2	ENSG00000183283
PSARL	NA
KIAA0494	NA
PPP2R2A	ENSG00000221914
YLPM1	ENSG00000119596
SUMO2	ENSG00000188612
BECN1	ENSG00000126581
SEC11L1	NA
HNRPA2B1	NA
NCOR1	ENSG00000141027
HINT1	ENSG00000169567
TNRC15	NA
GABARAP	ENSG00000170296
C20orf24	ENSG00000101084
UBE3B	ENSG00000151148
TSG101	ENSG00000074319
FLJ13855	NA
YTHDF1	ENSG00000149658
TAX1BP1	ENSG00000106052
BAT3	NA
WDR45L	NA
YWHAB	ENSG00000166913
ATP5B	ENSG00000110955
UBE2N	ENSG00000177889
ARPC2	ENSG00000163466
SOD1	ENSG00000142168
EIF4B	ENSG00000063046
UBE2L3	ENSG00000185651
TMEM113	NA
MORF4L2	ENSG00000123562
PPP1R11	ENSG00000204619
RBBP7	ENSG00000102054
UTP14C	ENSG00000253797
PSMA6	ENSG00000100902
DDX42	ENSG00000198231
PRPSAP1	ENSG00000161542
MAEA	ENSG00000090316
HNRPDL	NA
RNPS1	ENSG00000205937
COPS6	ENSG00000168090
ADD1	ENSG00000087274
DNAJA1	ENSG00000086061
HDCMA18P	NA
RPL34	ENSG00000109475
IARS2	ENSG00000067704
EP400	ENSG00000183495
COPZ1	ENSG00000111481
NOL9	ENSG00000162408
EIF3S2	NA
RPS5	ENSG00000083845
HNRPR	NA
CS	ENSG00000062485
FLJ20259	NA
NDUFC2	ENSG00000151366
NSFL1C	ENSG00000088833
PDCD6IP	ENSG00000170248
TUBA6	NA
RAB11A	ENSG00000103769
RPL35	ENSG00000136942
VCP	ENSG00000165280
MFAP1	ENSG00000140259
UFC1	ENSG00000143222
RPS11	ENSG00000142534
DDB1	LRG_474
PSMD2	ENSG00000175166
ARF1	ENSG00000143761
SERF2	ENSG00000140264
SPCS1	ENSG00000114902
COX4I1	ENSG00000131143
KIAA0676	NA
H3F3B	ENSG00000132475
USP14	ENSG00000101557
ETF1	ENSG00000120705
CTCF	ENSG00000102974
CSNK2B	ENSG00000204435
ZNF24	ENSG00000172466
RTF1	ENSG00000137815
METAP1	ENSG00000164024
CANX	ENSG00000127022
QARS	ENSG00000172053
TNPO3	ENSG00000064419
TXN2	ENSG00000100348
CNOT7	ENSG00000198791
C20orf4	NA
TARDBP	ENSG00000120948
ATP5O	ENSG00000241837
DHX15	ENSG00000109606
ACTR10	ENSG00000131966
DUSP11	ENSG00000144048
DHX16	ENSG00000231377
GTF3C2	ENSG00000115207
EIF3S7	NA
VPS26A	ENSG00000122958
ZNF313	NA
IMMT	ENSG00000132305
SARS	ENSG00000031698
NONO	ENSG00000147140
UQCRFS1	ENSG00000169021
SUMO3	ENSG00000184900
CSDE1	ENSG00000009307
RBM23	ENSG00000100461
COX6B1	ENSG00000126267
C20orf43	NA
TMSB10	ENSG00000034510
ERH	ENSG00000100632
PRDM4	ENSG00000110851
TOMM70A	ENSG00000154174
MRPL49	ENSG00000149792
PREI3	NA
PPP6C	ENSG00000119414
EIF2B1	ENSG00000111361
TINP1	NA
C11orf10	NA
GNB1	ENSG00000078369
RY1	NA
GOLGA7	ENSG00000147533
RPL36AL	ENSG00000165502
DRG1	ENSG00000185721
SF3A1	ENSG00000099995
SAP130	ENSG00000136715
PSMB1	ENSG00000008018
RPL29	ENSG00000162244
VPS4A	ENSG00000132612
SRP46	NA
RPL14	ENSG00000188846
MARK3	ENSG00000075413
GNG5	ENSG00000174021
RPL41	ENSG00000229117
TRIP12	ENSG00000153827
PSMB7	ENSG00000136930
RPS26	ENSG00000197728
NDUFS5	ENSG00000168653
CAPZB	ENSG00000077549
RPS28	ENSG00000233927
IGBP1	ENSG00000089289
MGC2747	NA
DCTN3	ENSG00000137100
COX7C	ENSG00000127184
FLJ11021	NA
NDUFB11	ENSG00000270272
PRDX6	ENSG00000117592
DEDD	ENSG00000158796
DREV1	NA
EIF3S8	NA
PIK4CB	NA
ANKHD1	ENSG00000131503
