HGNC symbol	Ensembl Gene ID
DDT	ENSG00000099977
METTL4	ENSG00000101574
ITPA	ENSG00000125877
OR2W1	ENSG00000226463
OR2J3	ENSG00000226271
RASSF1	ENSG00000263005
OR2J2	ENSG00000225550
OR11A1	ENSG00000232289
OR10C1	ENSG00000230505
GP1BB	ENSG00000203618
OR2H1	ENSG00000229125
AIRE	ENSG00000160224
BTC	ENSG00000261530
DZIP1	ENSG00000134874
RGL2	ENSG00000206282
HLA-DOA	ENSG00000230141
TBX1	ENSG00000184058
TNXB	ENSG00000236236
SOD1	ENSG00000142168
GSTT2	ENSG00000099984
CLEC5A	ENSG00000261180
MCTP1	ENSG00000262742
DOC2B	ENSG00000187939
RPH3AL	ENSG00000262334
ALOX5AP	ENSG00000132965
ZFP36L1	ENSG00000185650
GSTT1	ENSG00000184674
G6PC2	ENSG00000262563
VARS	ENSG00000224264
TNXB	ENSG00000229353
ID1	ENSG00000125968
CSNK1E	ENSG00000213923
GABBR1	ENSG00000232569
CDH19	ENSG00000071991
DHX16	ENSG00000233561
C21orf62	ENSG00000262938
SMTN	ENSG00000183963
BCL2L1	ENSG00000171552
B3GNT6	ENSG00000262264
KAL1	ENSG00000011201
ACTN1	ENSG00000072110
SDCBP	ENSG00000137575
LAMA3	ENSG00000053747
CAPN5	ENSG00000262875
UBD	ENSG00000226898
KCNJ4	ENSG00000168135
OR2H2	ENSG00000224319
KDELR3	ENSG00000100196
AP3B2	ENSG00000103723
LSM2	ENSG00000225998
SSTR3	ENSG00000183473
PRC1	ENSG00000198901
NPEPL1	ENSG00000215440
LY6G6E	ENSG00000236210
COX7B	ENSG00000131174
INSM1	ENSG00000173404
HLA-DPA1	ENSG00000168384
RAC2	ENSG00000128340
HSPH1	ENSG00000120694
ATP7A	ENSG00000165240
FEM1B	ENSG00000169018
KIR2DL2	ENSG00000215764
CABIN1	ENSG00000099991
MOG	ENSG00000234096
DDX17	ENSG00000100201
FABP5	ENSG00000164687
ABCB11	ENSG00000263298
RFPL2	ENSG00000128253
HLA-DPB1	ENSG00000230763
KPNA3	ENSG00000102753
C6orf48	ENSG00000226710
DNAJC3	ENSG00000102580
BICC1	ENSG00000122870
GSTZ1	ENSG00000100577
TPX2	ENSG00000088325
CDSN	ENSG00000137197
ADH6	ENSG00000172955
BARX1	ENSG00000131668
GNB1L	ENSG00000185838
RUNX1	ENSG00000159216
CXXC4	ENSG00000168772
FRAS1	ENSG00000138759
GSS	ENSG00000100983
HMX1	ENSG00000215612
TMPRSS11E	ENSG00000087128
PPP2R1B	ENSG00000262764
SLC5A4	ENSG00000100191
HLA-A	ENSG00000229215
BNC2	ENSG00000173068
RFPL3	ENSG00000128276
RFPL3S	ENSG00000205853
MALT1	ENSG00000172175
