	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PI3	30132.2580086268	9.35603302300269	0.226324014116791	41.3391087088736	0	0
S100A9	102879.792346013	8.67843425538392	0.21461274273194	40.437646641624	0	0
SPRR2A	26607.7238093477	7.2771562305175	0.178268268807026	40.8213771257014	0	0
S100A8	81030.1788861921	8.09133707631928	0.228194975261806	35.4579984376789	2.18396048580817e-275	1.08804911402963e-271
SERPINB3	22359.7177807472	6.81131397625782	0.195133715542753	34.9058795775632	6.05412339799369e-267	2.41293142150437e-263
SPRR2B	12401.7195183851	6.33523894388062	0.185988215299653	34.0625825871476	2.64321635213029e-254	8.77900257754206e-251
AKR1B10	1831.64011027958	6.11327541188022	0.181619151130508	33.6598611645714	2.2366923666286e-248	6.36754364031068e-245
SPRR2D	17954.2543911894	5.83861714239803	0.18264853737739	31.9664051310427	3.19657278733325e-224	7.96266281324713e-221
IL36G	3087.60419323127	5.52374870529163	0.178708936147335	30.9091913609604	8.98831415202549e-210	1.99021249357293e-206
SERPINB4	25251.0441406035	9.3425137782521	0.313720637503204	29.7797232997039	7.1519832354054e-195	1.42524721915159e-191
SPRR2C	1030.45649254734	7.17257794868111	0.241048400507077	29.7557583190457	1.46081016916416e-194	2.64645682282759e-191
DEFB4B	3781.07131594711	11.3087217782382	0.380810201186813	29.6964780433771	8.52628205935909e-194	1.41593124065757e-190
S100A7A	21658.3811557586	9.60519270211837	0.337504466443977	28.459453598706	3.7224958384803e-178	5.70629977455658e-175
KYNU	602.902456740609	4.46160773141239	0.157124862582727	28.3953007695604	2.31117747292803e-177	3.28979604860784e-174
FABP5	26674.5914623261	3.63094878695841	0.128017064738321	28.3630060912615	5.78569167529097e-177	7.68648424701323e-174
LCE3A	1231.03004064436	9.00380377062385	0.319052054164617	28.220485193862	3.27857131789684e-175	4.08346057644051e-172
GJB2	28119.4513843016	4.21850054172902	0.149688464511488	28.1818679582038	9.75544081665214e-175	1.14356720349555e-171
S100A7	61263.2865195214	7.39846042727463	0.26393749135998	28.0311083853714	6.7891619872049e-173	7.51635667116773e-170
TMPRSS11D	629.366321829785	7.52537249553628	0.270291149142675	27.8417274091501	1.35657086583565e-170	1.42282864286173e-167
DEFB4A	6226.67110362858	11.2161821035476	0.403772094976413	27.7784974323271	7.89050903178677e-170	7.86210319927234e-167
C10orf99	1682.10077945019	5.34306498832225	0.197283190261877	27.0832247858005	1.55209089563112e-161	1.47286035086367e-158
GDA	579.025209188211	6.25814923260266	0.232700690821194	26.8935567424309	2.61241922273293e-159	2.36637683048281e-156
PLA2G4D	4459.71341080053	4.48595614495599	0.172462454069668	26.0112044047793	3.6988066187304e-149	3.20477470861128e-146
AKR1B15	188.55071887148	5.59199320208292	0.215262024536737	25.9776113047221	8.86872904826271e-149	7.36400135307413e-146
LCE3E	2971.13753206122	5.66715886231948	0.220479800020116	25.7037554542521	1.06117830326688e-145	8.45886449100096e-143
TPBG	1034.95725678269	1.88571625143424	0.0752217472246355	25.0687643003413	1.09010294103631e-138	8.35521977268135e-136
LCE3D	8447.18151490354	5.56126705482477	0.228099470133229	24.3808854600869	2.7280667403745e-131	2.01351533341418e-128
S100A12	409.803209696709	7.45141382213826	0.308752581277336	24.1339320672596	1.10123648910939e-128	7.83765741248994e-126
KRT6A	187332.212654862	4.33518078544403	0.180390629280458	24.0321839484467	1.28205573065829e-127	8.8099333105374e-125
BTC	161.899188629073	-4.65904289119278	0.196446338536598	-23.716618624199	2.42981390395176e-124	1.61404438259835e-121
VNN3	88.55085608067	7.60363123602591	0.325604249991591	23.3523709724989	1.30379710720949e-120	8.38131250079703e-118
OASL	590.643497287879	4.97310825189936	0.215757011061594	23.0495789102289	1.48527449107434e-117	9.24954689316547e-115
RHCG	4472.12156915902	4.91610308881132	0.215110920964728	22.8538052218065	1.33945740054974e-115	8.0886991145925e-113
HPSE	986.435051336443	2.88770962637575	0.126605473398268	22.8087265808152	3.75629826529974e-115	2.20163270090863e-112
PAPL	1896.33394096308	3.66768943763435	0.161236840713238	22.7472172079915	1.52897522062872e-114	8.70554805619691e-112
ZC3H12A	2633.80638891236	3.64787617698742	0.160741897999841	22.6939971617794	5.13522092922105e-114	2.84263007437547e-111
SPRR2F	7184.84480934436	6.90505533268015	0.304530705551369	22.6744141290389	8.01414715798149e-114	4.31637633957446e-111
SPRR2E	36012.0126911394	3.94026768197046	0.175481835573326	22.453991714282	1.16980836207862e-111	6.13472132618493e-109
CDK5R1	215.109974463608	2.19929319492124	0.0983923127100969	22.3522868234761	1.14715565827577e-110	5.8616712713127e-108
TTC39A	718.289956898053	2.57290756486147	0.115178491617726	22.338437747569	1.56418586180177e-110	7.7927739634964e-108
IL36A	243.304421140627	9.45404629671897	0.425086324576441	22.2402974410881	1.40025059107875e-109	6.80590092171153e-107
SPRR2G	24254.939341715	4.76616728971921	0.21713738795401	21.9500074797284	8.65872134091103e-107	4.10835711623036e-104
GJB6	7048.19439404753	2.78114688051476	0.127269732846545	21.8523824817651	7.37816685467768e-106	3.41935137395388e-103
RRM2	760.310843291909	2.69279325175227	0.123474378021773	21.8085184545528	1.92612951095225e-105	8.72361565778558e-103
KRT3	261.230166719288	4.18025471643994	0.192438682264443	21.7225282736844	1.25669216556659e-104	5.5651914389802e-102
HEPHL1	3549.18560720787	6.00183710272148	0.28015752463185	21.4230801425319	8.14228402043973e-102	3.52737904259398e-99
FAM110C	763.664778659699	2.01892980631159	0.0945889521564356	21.3442453931892	4.4102530466562e-101	1.86994729178223e-98
UGT3A2	145.578350913061	-4.8355243876365	0.228708800923095	-21.1427123404074	3.22028650885095e-99	1.33695561559128e-96
PRSS27	650.608882723826	3.9539580511538	0.189146063814957	20.904257648322	4.89757632211466e-97	1.99181430504287e-94
PLBD1	2370.87144670636	2.02821471286061	0.0976004302363423	20.780796846379	6.45778931918546e-96	2.57381651105456e-93
ADAP2	790.596586662707	2.06104423832685	0.0993775246096025	20.7395409215868	1.523728160586e-95	5.95389309493291e-93
ABCG4	127.109684107618	4.77419965684014	0.232940172972594	20.4953898501734	2.36683391930202e-93	9.07043583535591e-91
KCNK10	82.4794386323033	2.98489620462287	0.146320563279981	20.3997041681103	1.68230185338183e-92	6.32545496871568e-90
ARNTL2	1477.26426942657	2.1771474803585	0.106790581002986	20.3870740276021	2.17787745566286e-92	8.03717443267582e-90
CYP2W1	95.5027417056075	-4.43856617512651	0.218057010930951	-20.3550720803561	4.18634581448396e-92	1.51682726165521e-89
MPZL2	2508.02284714065	2.31360780044926	0.114629344668384	20.1833815515773	1.37042666573861e-90	4.87676117764984e-88
KRT6C	50005.0148873752	3.96026885193763	0.196521384966876	20.1518468466175	2.59259142329222e-90	9.06406348831005e-88
KLK13	1786.91146722802	3.80882648191635	0.189610808937706	20.087602090067	9.47277851809644e-90	3.25471603980389e-87
PGM2	1846.58399820841	1.62293684598228	0.0809448385111414	20.0499114685231	2.02204616678388e-89	6.82971796807951e-87
WNT5A	737.654483059601	2.38381525809935	0.119249324309374	19.9901783251611	6.70557404390056e-89	2.22714465911417e-86
KRT77	6892.66686207151	-3.54373907353738	0.180169719572172	-19.6688937627937	3.98377134263729e-86	1.30145238223075e-83
HRH2	192.257802960744	3.1671648389246	0.161996786121175	19.5507881036327	4.06197337627014e-85	1.30559686197276e-82
KLK9	1990.04020684565	3.95425517926655	0.204869064322101	19.3013776499196	5.22962108740238e-83	1.65422046078976e-80
GM2A	11158.3790973607	1.79971005480836	0.0935623065686188	19.2354177746617	1.87030190389192e-82	5.73405789857819e-80
TYMP	3653.35149784825	3.49137484353249	0.181503758573896	19.235826690118	1.8556090586425e-82	5.73405789857819e-80
TCN1	1782.53400376904	7.06654335622291	0.369594505793693	19.119719707542	1.73034886249306e-81	5.22460486844875e-79
MELK	188.499256317665	2.01634067110209	0.105877469369404	19.0440958129357	7.35450370194732e-81	2.18747089212547e-78
DSG3	9298.89310628056	2.0497068192965	0.107642085588347	19.0418720344675	7.67352730671182e-81	2.24879488482578e-78
CFB	951.371447141638	1.92355499241122	0.101623488249621	18.9282519774005	6.67405150296728e-80	1.92754345436423e-77
KPNA2	1389.50523436929	1.8002278921257	0.0951193288788233	18.9259944676343	6.96622784651479e-80	1.9831855503621e-77
SPRR1B	18633.2369351064	3.64548860038759	0.192718346005032	18.9161471959313	8.3973180658697e-80	2.35692611854438e-77
SLC6A14	2369.09261175905	4.15428228112439	0.220054879366636	18.8783920314845	1.71735220142309e-79	4.75324925971657e-77
TREX2	666.268310994686	3.4483345474038	0.183010138458988	18.8423142916564	3.39778885270741e-79	9.27549811736345e-77
DSC2	5676.56893339678	2.61358142517978	0.139175031253362	18.7790970955263	1.11967877306501e-78	2.97506114528527e-76
LRRC55	129.406547736072	3.709549745039	0.19753402837697	18.7792947651519	1.11551846810554e-78	2.97506114528527e-76
IRAK2	258.663087337555	2.01811107779476	0.107596006978999	18.7563752081307	1.7171812389851e-78	4.50262996453882e-76
CHI3L2	1709.37053260517	3.8530240376468	0.205591618677112	18.7411532748234	2.28618366566082e-78	5.91676208951803e-76
IL4R	1945.7216725736	1.68453724413758	0.0899571881490929	18.7259882039184	3.03977894892097e-78	7.76624549924322e-76
ARSF	422.469193228755	3.32873324215279	0.178044289943912	18.6960965903563	5.32640532629633e-78	1.34360259927131e-75
GPR110	47.370941291746	5.71021260525481	0.30817722808728	18.5289894412237	1.20529284438502e-76	3.00238447536309e-74
OAS2	1694.5052118452	3.66191517956768	0.197704794150691	18.5221364777658	1.36895183371532e-76	3.36795952373813e-74
CXCR4	386.605288369855	2.07321390565579	0.111981015729773	18.5139766070595	1.59295123752215e-76	3.87126003187089e-74
DEPDC1B	100.992157333884	2.24987921441453	0.121549652364983	18.5099600915246	1.71627758166572e-76	4.07166424374219e-74
LOC100505839	337.975380099959	2.24557577775046	0.121312978019824	18.5105980778372	1.69607062038443e-76	4.07166424374219e-74
LTF	3304.68386137536	5.63396220038356	0.306199176167879	18.3996647897401	1.32179901005844e-75	3.09891890264053e-73
INA	128.886124222422	3.08121488901556	0.167582897157054	18.3862132788403	1.69406945333595e-75	3.92551349605568e-73
PTPN21	1329.09112417251	-1.24443879351059	0.0676949765526225	-18.3830301284354	1.79647559609033e-75	4.11496157228599e-73
SERPINB13	2452.67412597326	2.8195253785339	0.153747570026253	18.3386662830018	4.06651622990424e-75	9.20881084426498e-73
