	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DEFB4A	5204.14279622145	11.5519651928806	0.360802533426988	32.0174170706544	6.24076931242362e-225	1.19760363105409e-220
DEFB4B	3322.12528775014	11.2260747638399	0.366341508069616	30.6437422911591	3.2020026032235e-206	3.07232149779295e-202
PI3	30003.7878702676	9.10213021758627	0.318524400295822	28.5759276499159	1.33821174799724e-179	8.56009448135566e-176
AKR1B10	1918.34962749491	6.28291187291121	0.25118571471931	25.0130142947504	4.41285188354582e-138	2.11706569113111e-134
S100A8	76901.3600864707	7.6905636078158	0.313536339097554	24.5284601776987	7.34380668140071e-133	2.81855300432159e-129
S100A12	394.837545931632	7.66262988722235	0.316140547637099	24.2380483759342	8.83885691980422e-130	2.82696107151738e-126
S100A7A	21190.3558389496	9.24331044092558	0.384037714429195	24.0687570351369	5.3118199257881e-128	1.45619749108391e-124
TCN1	1912.66210323805	8.4444631725703	0.353108408049984	23.9146476834246	2.15655353331414e-126	5.17303278803729e-123
KYNU	553.952110702201	4.60787253076861	0.193968463436811	23.7557819922089	9.57510096440369e-125	2.0416243056323e-121
IL36G	2858.65349552666	5.17880825317457	0.222940609862378	23.2295419680222	2.29046576067664e-119	4.39540379473848e-116
HEPHL1	2938.82211534373	6.4928568691708	0.293365660558147	22.132300204522	1.54492174318657e-108	2.69518620470457e-105
SPRR2A	22777.2835538962	6.52469422648698	0.296014909920739	22.0417756262144	1.14555572518329e-107	1.83193453052228e-104
C10orf99	1427.87431886455	5.14730553651367	0.239434871941641	21.4977271053828	1.63501726411086e-102	2.41353702294518e-99
GJB2	26991.1728010564	4.43392006928153	0.207933234828325	21.3237680495967	6.83291603043191e-101	9.36597561599917e-98
AKR1B15	199.133052988281	5.47454894186394	0.261344855687021	20.94760552096	1.97305617976484e-97	2.52419653931249e-94
TMPRSS11D	681.946442512658	6.89689079300965	0.365394127194275	18.8752097521881	1.82398303001621e-79	2.18763964662569e-76
IL36A	207.248463716444	8.42565893363026	0.45024125271391	18.7136538085817	3.831811464326e-78	4.32543894120094e-75
SPRR2B	10452.547998015	5.56174164710281	0.30131270421952	18.4583708858516	4.46610228719149e-76	4.76136127173359e-73
ARSF	457.65352317272	3.90772687176773	0.212344996404807	18.402726402454	1.24918451209748e-75	1.26167635721846e-72
SERPINB4	23343.319081047	8.01892810896276	0.443296012337985	18.0893305731991	3.86756395997523e-73	3.71092761959624e-70
SERPINB3	20573.312605742	6.08163006020649	0.353321137552909	17.2127546693857	2.13051831410113e-66	1.94688792607622e-63
CXCL1	227.720507986794	6.35091401315842	0.369053088623383	17.2086732476571	2.28609481618291e-66	1.99409816011591e-63
SPRR2C	1410.20054373671	6.47788352086604	0.377815630220562	17.14562078092	6.77712373536083e-66	5.65447845572063e-63
S100A7	51476.9219212609	6.31792818404873	0.369348054060032	17.1056219590149	1.34755565041349e-65	1.07748303880979e-62
SPRR2G	17709.0022873813	4.38066713952985	0.259758730070262	16.8643692488985	8.22757029113938e-64	6.31548295547859e-61
VNN3	83.5161718831295	6.90795580525001	0.410768778222556	16.8171394017372	1.82773403394963e-63	1.34900831198052e-60
TNIP3	156.642290077236	5.25101104307243	0.312915116485247	16.7809439890706	3.36445106795681e-63	2.3912524442256e-60
CD274	196.447039227084	3.6859653552599	0.221412678978543	16.647489982347	3.15562725595843e-62	2.1627316800658e-59
SLC6A14	2044.58054813772	4.39715379664428	0.264520089589505	16.6231374088372	4.73865577635469e-62	3.13568290856023e-59
FABP5	27192.5727871435	3.56080008455292	0.216079713100453	16.4791040929304	5.18474775821472e-61	3.31651031600468e-58
SPRR2D	15710.1568489198	5.04158721748868	0.313904401260773	16.0609000614185	4.79541900739247e-58	2.96851905651166e-55
SPRR2F	6678.57544784111	6.02985441756177	0.383480976298841	15.7239988167309	1.03575098564969e-55	6.21126919206801e-53
PLA2G4D	4179.61712211039	4.10258084106444	0.261863080112728	15.6668929399988	2.54731119871181e-55	1.48130005767514e-52
CHI3L2	1435.02344546292	4.50939465867988	0.289566766926875	15.572901222531	1.11244838457504e-54	6.27878955882206e-52
IL19	106.932760809524	7.48038938334671	0.488977545136594	15.2980222870093	7.88154394840469e-53	4.32133795342531e-50
RHCG	4341.34366460109	5.01872780770885	0.328732650789255	15.2668978747909	1.27076088617579e-52	6.77386150158705e-50
EHF	7136.20144382243	2.41679481380527	0.158344635698899	15.262877729568	1.35153915170357e-52	7.00973954626798e-50
IRAK2	241.846862248334	1.87739478524393	0.123603620864012	15.1888332406494	4.1931689080615e-52	2.11755029857106e-49
PRKCQ	111.164322266374	2.73155970617402	0.180032192065729	15.1726181569613	5.36916578863101e-52	2.64190490984177e-49
GPR110	51.407063672784	5.78890897878976	0.382878866953624	15.1194267389298	1.20587784920002e-51	5.78519898153712e-49
GDA	587.856939572542	5.3779933611892	0.356913592217881	15.0680542250298	2.62737572089941e-51	1.22974000205024e-48
PLA2G4E	4801.39019753828	2.4293238442035	0.161855934951948	15.0091737131834	6.39392436699835e-51	2.92141449054044e-48
LCE3D	6571.03602448331	4.68574684102106	0.315563011404394	14.8488468916792	7.0775584716301e-50	3.15856621094376e-47
LCE3A	878.937231718175	6.95294479279246	0.468607898062761	14.8374468751725	8.38884068342583e-50	3.65867847079413e-47
RND1	117.783892898533	4.53694028085681	0.306746560903065	14.79051718624	1.68652889452682e-49	7.19210877465992e-47
KLK13	1528.67863590091	3.48755671870407	0.236407326114635	14.7523208185728	2.97263781991208e-49	1.24010695139376e-46
CHAC1	322.599782794393	5.05050752079909	0.342776833656864	14.7340981796188	3.89360233745483e-49	1.58974955012251e-46
BTC	153.560503642403	-4.31651515923141	0.293120334362845	-14.7260856829132	4.38372423490021e-49	1.75257641807782e-46
S100A9	97711.3768446496	6.56021595986308	0.446102564836811	14.705622601078	5.93227845268466e-49	2.32327394912283e-46
