	Min.	X1st.Qu.	Median	Mean	X3rd.Qu.	Max.	Libsum	Perc05	Perc10	Perc90	Perc95	Zeros
GSM1315790_M9132_Psoriasis_skin_SRX451477	0	3	142	1307	873	750200	30548278	0	0	2345.6	4114.24999999999	4286
GSM1315789_M9081_Psoriasis_skin_SRX451476	0	2	101	1243	763.2	1006000	29056733	0	0	2186.3	3938.65	4797
GSM1315788_M9049_Psoriasis_skin_SRX451475	0	3	126	1266	781	778600	29578475	0	0	2125.3	3746	4500
GSM1315787_M9027_normal_skin_SRX451474	0	2	103	1052	630	855500	24581932	0	0	1772.3	3095	4545
GSM1315786_M9004_normal_skin_SRX451473	0	3	135	1063	758	773800	24843684	0	0	1936.3	3268.65	4168
GSM1315785_M9000_normal_skin_SRX451472	0	3	119	1044	682	768400	24394712	0	0	1863	3179.94999999999	4308
GSM1315784_M8979_normal_skin_SRX451471	0	3	110	1018	655.2	783700	23785399	0	0	1831	3122	4408
GSM1315783_M8900_normal_skin_SRX451470	0	3	147	1274	864.2	695100	29778125	0	0	2304.3	3977.65	4205
GSM1315782_M8883_normal_skin_SRX451469	0	3	138	1215	831	631200	28380646	0	0	2245.9	3876.65	4265
GSM1315781_M8882_normal_skin_SRX451468	0	4	161	1260	882	752700	29442619	0	0	2308	3964	3921
GSM1315780_M8868_normal_skin_SRX451467	0	3	136	1207	805	1097000	28213418	0	0	2168.6	3771.65	4257
GSM1315779_M8846_normal_skin_SRX451466	0	3	135	1117	773	851900	26112139	0	0	2059	3546.59999999999	4239
GSM1315778_M8825_Psoriasis_skin_SRX451465	0	3	139	1129	854	798000	26375797	0	0	2239.2	3767.24999999999	4166
GSM1315777_M8815_Psoriasis_skin_SRX451464	0	2	92.5	893.6	580	617700	20880513	0	0	1642.3	2908.65	4791
GSM1315776_M8771_Psoriasis_skin_SRX451463	0	2	87.5	829.8	534	930500	19389777	0	0	1469	2590	4979
GSM1315775_M8755_Psoriasis_skin_SRX451462	0	2	97	879.3	629	552300	20547029	0	0	1679	2907	4768
GSM1315774_M8719_normal_skin_SRX451461	0	1	90	814	545	643800	19021551	0	0	1475.3	2520.3	5303
GSM1315773_M8704_Psoriasis_skin_SRX451460	0	2	119	1262	844	770100	29495610	0	0	2312	4123.89999999999	4655
GSM1315772_M8702_normal_skin_SRX451459	0	3	136	1136	782	770700	26535229	0	0	2053.3	3487	4247
GSM1315771_M8698_Psoriasis_skin_SRX451458	0	2	114	1228	775	735000	28706421	0	0	2119.3	3791.3	4625
GSM1315770_M8659_Psoriasis_skin_SRX451457	0	3	125	1151	781	834400	26890808	0	0	2085.6	3661.94999999999	4467
GSM1315769_M8654_Psoriasis_skin_SRX451456	0	3	120	1255	815	777000	29334519	0	0	2203.3	3883.94999999999	4350
GSM1315768_M8646_normal_skin_SRX451455	0	7	274	2027	1471	1050000	47356913	0	0	3760.6	6482.3	3486
GSM1315767_M8639_normal_skin_SRX451454	0	3	126.5	1211	769	890100	28309757	0	0	2120.3	3717.65	4294
GSM1315766_M8610_Psoriasis_skin_SRX451453	0	2	96	1080	672.2	616100	25240833	0	0	1930.6	3401.94999999999	4767
GSM1315765_M856_Psoriasis_skin_SRX451452	0	2	97	811	575	414700	18951220	0	0	1565	2716.65	4408
GSM1315764_M8561_Psoriasis_skin_SRX451451	0	2	133	1243	880	682100	29052917	0	0	2406.3	4160	4521
GSM1315763_M8554_Psoriasis_skin_SRX451450	0	4	147	1267	914	806300	29603613	0	0	2369.6	4085.54999999998	4128
GSM1315762_M8530_Psoriasis_skin_SRX451449	0	4	166	1309	957	629500	30590248	0	0	2478.9	4267	4000
GSM1315761_M8492_Psoriasis_skin_SRX451448	0	3	137	868.5	718	354500	20295407	0	0	1797	3002.65	4262
GSM1315760_M8490_Psoriasis_skin_SRX451447	0	3	129	1112	763.2	554300	25977808	0	0	2060	3642.24999999999	4489
GSM1315759_M8487_Psoriasis_skin_SRX451446	0	1	73	1128	607	1521000	26364689	0	0	1818.3	3277.65	5213
GSM1315758_M8485_Psoriasis_skin_SRX451445	0	3	135	1087	773	852900	25404615	0	0	2031	3451.3	4221
GSM1315757_M8483_Psoriasis_skin_SRX451444	0	3	120	1002	704	411600	23416676	0	0	1859.6	3238.24999999999	4469
GSM1315756_M8481_Psoriasis_skin_SRX451443	0	3	131	1078	760.2	733900	25197504	0	0	1971.3	3359.24999999999	4097
GSM1315755_M8470_Psoriasis_skin_SRX451442	0	3	141	1187	857.2	897900	27730382	0	0	2298.3	3914	4048
GSM1315754_M8424_Psoriasis_skin_SRX451441	0	8	265	1966	1415	2174000	45946169	0	0	3655	6138.94999999999	3621
GSM1315753_M8376_Psoriasis_skin_SRX451440	0	2	95	1212	702	1194000	28316513	0	0	2023.3	3689.65	4828
GSM1315752_M8298_Psoriasis_skin_SRX451439	0	3	124	1227	793	778900	28677790	0	0	2208.3	3824.65	4269
GSM1315751_M8282_normal_skin_SRX451438	0	4	141	1038	773.2	652600	24266495	0	0	1977.3	3325	4004
GSM1315750_M8280_Psoriasis_skin_SRX451437	0	4	145	1050	804.2	696700	24543620	0	0	2089	3446.3	4057
GSM1315749_M8221_Psoriasis_skin_SRX451436	0	3	123	1192	763	873500	27859378	0	0	2112.6	3617.65	4292
GSM1315748_M8065_Psoriasis_skin_SRX451435	0	1	77	908.2	522	744900	21221788	0	0	1462	2605.3	5032
GSM1315747_M7972_Psoriasis_skin_SRX451434	0	3	137	1204	812.2	582800	28128241	0	0	2156.6	3700	4124
GSM1315746_M7912_Psoriasis_skin_SRX451433	0	2	97	1088	684.2	856900	25426591	0	0	1911.6	3369.65	4736
GSM1315745_M7874_normal_skin_SRX451432	0	2	109	830.1	603	446800	19396741	0	0	1571	2660	5493
GSM1315744_M7838_Psoriasis_skin_SRX451431	0	4	134	895.1	694.2	682400	20917704	0	0	1766	2955.65	3881
GSM1315743_M7834_Psoriasis_skin_SRX451430	0	3	145	1092	792	597500	25509452	0	0	2053	3488.65	4221
GSM1315742_M7832_Psoriasis_skin_SRX451429	0	2	87	838.4	561	878700	19590677	0	0	1539	2610.94999999999	4616
GSM1315741_M7825_Psoriasis_skin_SRX451428	0	2	105	1137	711	665000	26576827	0	0	1982	3548.54999999998	4587
GSM1315740_M7807_Psoriasis_skin_SRX451427	0	2	91.5	749.1	537	323500	17504110	0	0	1465.6	2596	4556
GSM1315739_M7786_normal_skin_SRX451426	0	3	132	1071	745	587800	25027690	0	0	1958	3382.65	4227
GSM1315738_M7785_normal_skin_SRX451425	0	5	185	1268	945	624600	29635043	0	0	2385	4082.65	3680
GSM1315737_M777_Psoriasis_skin_SRX451424	0	2	100	704.8	521	236700	16469799	0	0	1324.3	2245.24999999999	5010
GSM1315736_M7772_normal_skin_SRX451423	0	3	116	956.7	646	572300	22356458	0	0	1713	2866	4214
GSM1315735_M7768_normal_skin_SRX451422	0	3	129	1033	699	561600	24144017	0	0	1825	3136.65	4327
GSM1315734_M7767_normal_skin_SRX451421	0	4	145	1168	812	619200	27286736	0	0	2155	3640.3	4058
GSM1315733_M7749_normal_skin_SRX451420	0	4	133.5	1096	738	597700	25610939	0	0	2013.3	3489.94999999999	4116
GSM1315732_M7748_normal_skin_SRX451419	0	4	145	987.5	727	422600	23075677	0	0	1888.3	3227	4013
GSM1315731_M7747_normal_skin_SRX451418	0	4	159	1138	845	563800	26597666	0	0	2205.3	3743.24999999999	3945
GSM1315730_M7744_normal_skin_SRX451417	0	4	146	1194	832	777500	27892592	0	0	2177.6	3804.09999999997	4136
GSM1315729_M7743_normal_skin_SRX451416	0	2	121	1162	772	634600	27146700	0	0	2141	3742.94999999999	4519
GSM1315728_M7742_normal_skin_SRX451415	0	3	134.5	1167	759	732900	27274964	0	0	2052	3558.65	4146
GSM1315727_M7741_normal_skin_SRX451414	0	4	155	1158	883	550700	27057493	0	0	2279.3	3815.59999999999	3974
GSM1315726_M7731_normal_skin_SRX451413	0	4	170	1245	898.2	778900	29091232	0	0	2313.3	3904.3	3979
GSM1315725_M7730_normal_skin_SRX451412	0	4	172	1187	873.2	578200	27735759	0	0	2173	3635.3	3948
GSM1315724_M7715_normal_skin_SRX451411	0	0	84	867.1	523	436700	20263279	0	0	1486.3	2706.3	6134
GSM1315723_M7714_normal_skin_SRX451410	0	2	97	841.3	564	379000	19658503	0	0	1527	2722	4820
GSM1315722_M7711_normal_skin_SRX451409	0	4	144	1043	748	452200	24363625	0	0	1985	3418.65	4178
GSM1315721_M7710_normal_skin_SRX451408	0	3	140	1209	812.2	804900	28241234	0	0	2169	3753.59999999999	4479
GSM1315720_M7704_normal_skin_SRX451407	0	4	153	1174	845	702300	27443699	0	0	2181.3	3724.19999999998	4023
GSM1315719_M7702_normal_skin_SRX451406	0	3	139	1075	753	767200	25109668	0	0	1991.3	3352.3	4146
GSM1315718_M7701_normal_skin_SRX451405	0	5	178	1285	980.2	662900	30033664	0	0	2544	4261.3	3845
GSM1315717_M7685_normal_skin_SRX451404	0	5	175	1181	925	540500	27605659	0	0	2355.3	3974.19999999998	3776
GSM1315716_M7684_normal_skin_SRX451403	0	2	116.5	894.9	638.2	586900	20911797	0	0	1653.3	2787.65	5167
GSM1315715_M7682_normal_skin_SRX451402	0	4	131	889	671	473100	20774570	0	0	1723	2850.65	3931
GSM1315714_M7670_normal_skin_SRX451401	0	4	152	1215	869.2	622200	28398012	0	0	2321.3	3996.65	3892
GSM1315713_M7669_normal_skin_SRX451400	0	4	171	1255	927	792300	29335982	0	0	2382.3	4045.65	3977
GSM1315712_M7664_normal_skin_SRX451399	0	4	145	1113	788	605900	26017275	0	0	2022.3	3459	4045
GSM1315711_M7663_normal_skin_SRX451398	0	1	103	1039	657	805500	24278493	0	0	1801.3	3208.59999999999	5601
GSM1315710_M7651_normal_skin_SRX451397	0	3	141	1282	835.2	936600	29953313	0	0	2231.3	3926.3	4534
GSM1315709_M7647_normal_skin_SRX451396	0	4	158	1271	901	756900	29694929	0	0	2410.3	4100.65	4061
GSM1315708_M7642_normal_skin_SRX451395	0	3	114	984.4	673	614700	23003131	0	0	1822	3092	4354
GSM1315707_M7605_normal_skin_SRX451394	0	3	121	906.6	665	592300	21184395	0	0	1726	2908.65	4527
GSM1315706_M7600_Psoriasis_skin_SRX451393	0	3	118	1092	709	583900	25518322	0	0	1905	3350.3	4466
GSM1315705_M7588_normal_skin_SRX451392	0	4	168	1289	934.2	1078000	30130086	0	0	2459.3	4151.94999999999	4197
GSM1315704_M7473_normal_skin_SRX451391	0	3	106	737.7	553	368200	17238582	0	0	1395	2386.65	4263
GSM1315703_M7450_Psoriasis_skin_SRX451390	0	2	101	1214	719	1252000	28376890	0	0	2029.3	3658.65	4721
GSM1315702_M7305_Psoriasis_skin_SRX451389	0	2	113	1101	717	1009000	25725772	0	0	1969.3	3387.24999999999	4547
GSM1315701_M7264_Psoriasis_skin_SRX451388	0	3	122	938.2	711	302500	21924015	0	0	1855	3195.19999999998	4365
GSM1315700_M7252_Psoriasis_skin_SRX451387	0	2	103	1083	676	633300	25311332	0	0	1928	3452.3	4582
GSM1315699_M7204_Psoriasis_skin_SRX451386	0	2	112	1034	686	555300	24156186	0	0	1902.3	3388.65	4544
GSM1315698_M7168_Psoriasis_skin_SRX451385	0	3	135	1238	814.2	833000	28930043	0	0	2205.3	3875.3	4197
GSM1315697_M7003_Psoriasis_skin_SRX451384	0	3	141	1217	842	751000	28428658	0	0	2256.3	3924.24999999999	4221
GSM1315696_M6953_Psoriasis_skin_SRX451383	0	3	130	1284	842	648300	30014395	0	0	2313	4110.65	4290
