; sequence-lengths  -v 1 -i $RSAT/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1_template.fa -in_format fasta -o $RSAT/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1.lengths
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1_template.fa
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1.lengths
; seq format	fasta
#seq	length
mm9_chr1_8862955_8863208_+	254
mm9_chr1_9611721_9611982_+	262
mm9_chr1_21310405_21310630_+	226
mm9_chr1_21316828_21317084_+	257
mm9_chr1_23003563_23003832_+	270
mm9_chr1_40285978_40286210_+	233
mm9_chr1_50739789_50740092_+	304
mm9_chr1_51797761_51798007_+	247
mm9_chr1_54580594_54580915_+	322
mm9_chr1_54609526_54609794_+	269
mm9_chr1_58158431_58158741_+	311
mm9_chr1_58458359_58458587_+	229
mm9_chr1_60619972_60620208_+	237
mm9_chr1_60655857_60656136_+	280
mm9_chr1_62771736_62772170_+	435
mm9_chr1_64799688_64799944_+	257
mm9_chr1_65137033_65137308_+	276
mm9_chr1_66947627_66947928_+	302
mm9_chr1_67150582_67150848_+	267
mm9_chr1_67163113_67163429_+	317
mm9_chr1_67169351_67169610_+	260
mm9_chr1_69020312_69020613_+	302
mm9_chr1_71959131_71959385_+	255
mm9_chr1_71985225_71985472_+	248
mm9_chr1_72335145_72335417_+	273
mm9_chr1_75165558_75165832_+	275
mm9_chr1_82180711_82180962_+	252
mm9_chr1_82290769_82291066_+	298
mm9_chr1_84275596_84275856_+	261
mm9_chr1_88776184_88776468_+	285
mm9_chr1_90110182_90110524_+	343
mm9_chr1_90121022_90121272_+	251
mm9_chr1_90175640_90176009_+	370
mm9_chr1_90180832_90181058_+	227
mm9_chr1_91412428_91412673_+	246
mm9_chr1_92131259_92131537_+	279
mm9_chr1_100689985_100690246_+	262
mm9_chr1_120231722_120231972_+	251
mm9_chr1_121563548_121563857_+	310
mm9_chr1_128942341_128942547_+	207
mm9_chr1_129629077_129629367_+	291
mm9_chr1_132575234_132575565_+	332
mm9_chr1_135582390_135582730_+	341
mm9_chr1_138595149_138595414_+	266
mm9_chr1_140407205_140407487_+	283
mm9_chr1_140808914_140809198_+	285
mm9_chr1_141755249_141755510_+	262
mm9_chr1_145794068_145794332_+	265
mm9_chr1_154291818_154292099_+	282
mm9_chr1_158587702_158587992_+	291
mm9_chr1_162304691_162304981_+	291
mm9_chr1_163198276_163198549_+	274
mm9_chr1_164794419_164794672_+	254
mm9_chr1_166083060_166083325_+	266
mm9_chr1_166345399_166345772_+	374
mm9_chr1_167414841_167415129_+	289
mm9_chr1_170296408_170296655_+	248
mm9_chr1_173383134_173383366_+	233
mm9_chr1_178756393_178756666_+	274
mm9_chr1_181491201_181491517_+	317
mm9_chr1_188609306_188609538_+	233
mm9_chr1_189308715_189308993_+	279
mm9_chr10_8593527_8593826_+	300
mm9_chr10_10168934_10169220_+	287
mm9_chr10_10299739_10299977_+	239
mm9_chr10_17127679_17127949_+	271
mm9_chr10_21014104_21014334_+	231
mm9_chr10_23571083_23571332_+	250
mm9_chr10_39679916_39680181_+	266
mm9_chr10_39797474_39797762_+	289
mm9_chr10_40232035_40232311_+	277
mm9_chr10_50483828_50484095_+	268
mm9_chr10_53102531_53102811_+	281
mm9_chr10_53127299_53127597_+	299
mm9_chr10_66488398_66488647_+	250
mm9_chr10_67520615_67520987_+	373
mm9_chr10_67587772_67588054_+	283
mm9_chr10_67907181_67907461_+	281
mm9_chr10_68751594_68751846_+	253
mm9_chr10_68762780_68763062_+	283
mm9_chr10_74508633_74508901_+	269
mm9_chr10_82221674_82221973_+	300
mm9_chr10_84652718_84653052_+	335
mm9_chr10_86349260_86349509_+	250
mm9_chr10_89099757_89100024_+	268
mm9_chr10_90120590_90120834_+	245
mm9_chr10_91608998_91609255_+	258
mm9_chr10_92951210_92951538_+	329
mm9_chr10_93560882_93561223_+	342
mm9_chr10_94848391_94848645_+	255
mm9_chr10_96386801_96387050_+	250
mm9_chr10_98674211_98674493_+	283
mm9_chr10_99065074_99065326_+	253
mm9_chr10_106752385_106752611_+	227
mm9_chr10_111139626_111139900_+	275
mm9_chr10_114700304_114700554_+	251
mm9_chr10_116849749_116850030_+	282
mm9_chr10_121763973_121764250_+	278
mm9_chr10_121823761_121824048_+	288
mm9_chr10_127374113_127374383_+	271
mm9_chr10_127382731_127382987_+	257
mm9_chr11_5402442_5402718_+	277
mm9_chr11_5819625_5819890_+	266
mm9_chr11_7092729_7093034_+	306
mm9_chr11_14095174_14095433_+	260
mm9_chr11_20979816_20980088_+	273
mm9_chr11_21302955_21303255_+	301
mm9_chr11_22273301_22273550_+	250
mm9_chr11_27760122_27760380_+	259
mm9_chr11_27798706_27798992_+	287
mm9_chr11_29708454_29708722_+	269
mm9_chr11_36957574_36957861_+	288
mm9_chr11_36963534_36963827_+	294
mm9_chr11_43164886_43165144_+	259
mm9_chr11_50456100_50456409_+	310
mm9_chr11_51571215_51571492_+	278
mm9_chr11_53122411_53122675_+	265
mm9_chr11_57909087_57909394_+	308
mm9_chr11_67043513_67043801_+	289
mm9_chr11_70826352_70826681_+	330
mm9_chr11_80003832_80004116_+	285
mm9_chr11_83561310_83561611_+	302
mm9_chr11_86417278_86417577_+	300
mm9_chr11_88745736_88746002_+	267
mm9_chr11_89993929_89994191_+	263
mm9_chr11_90120511_90120805_+	295
mm9_chr11_100799489_100799831_+	343
mm9_chr11_106354668_106354921_+	254
mm9_chr11_109567397_109567653_+	257
mm9_chr12_7956943_7957239_+	297
mm9_chr12_8439682_8440022_+	341
mm9_chr12_8836620_8836890_+	271
mm9_chr12_15660085_15660666_+	582
mm9_chr12_16049134_16049473_+	340
mm9_chr12_26501182_26501416_+	235
mm9_chr12_27001154_27001433_+	280
mm9_chr12_27145123_27145385_+	263
mm9_chr12_35674296_35674566_+	271
mm9_chr12_42710254_42710497_+	244
mm9_chr12_52374554_52374831_+	278
mm9_chr12_58545469_58545703_+	235
mm9_chr12_58998802_58999045_+	244
mm9_chr12_60231193_60231465_+	273
mm9_chr12_71334645_71334909_+	265
mm9_chr12_72506353_72506621_+	269
mm9_chr12_73037559_73037845_+	287
mm9_chr12_73591023_73591331_+	309
mm9_chr12_74582194_74582472_+	279
mm9_chr12_76573977_76574359_+	383
mm9_chr12_76587958_76588200_+	243
mm9_chr12_76767923_76768201_+	279
mm9_chr12_77016738_77017028_+	291
mm9_chr12_79307247_79307576_+	330
mm9_chr12_82213394_82213636_+	243
mm9_chr12_82290742_82290995_+	254
mm9_chr12_86288899_86289163_+	265
mm9_chr12_86494067_86494346_+	280
mm9_chr12_88495457_88495757_+	301
mm9_chr12_88734420_88734689_+	270
mm9_chr12_94550700_94550978_+	279
mm9_chr12_100472656_100472901_+	246
mm9_chr12_100673455_100673746_+	292
mm9_chr12_104972407_104972687_+	281
mm9_chr12_105007849_105008094_+	246
mm9_chr12_105062105_105062375_+	271
mm9_chr12_105097861_105098128_+	268
mm9_chr12_105139220_105139478_+	259
mm9_chr12_105281042_105281324_+	283
mm9_chr12_111037111_111037386_+	276
mm9_chr12_111297637_111297908_+	272
mm9_chr12_113334502_113334749_+	248
mm9_chr12_113867610_113867916_+	307
mm9_chr12_118963541_118963797_+	257
mm9_chr13_9577749_9578003_+	255
mm9_chr13_13556290_13556555_+	266
mm9_chr13_13681373_13681620_+	248
mm9_chr13_23960625_23960932_+	308
mm9_chr13_24883268_24883510_+	243
mm9_chr13_28620836_28621115_+	280
mm9_chr13_31573365_31573690_+	326
mm9_chr13_34382217_34382496_+	280
mm9_chr13_36712854_36713151_+	298
mm9_chr13_38214260_38214533_+	274
mm9_chr13_38588620_38588889_+	270
mm9_chr13_40413164_40413454_+	291
mm9_chr13_41101732_41101995_+	264
mm9_chr13_42819441_42819685_+	245
mm9_chr13_46333056_46333372_+	317
mm9_chr13_52121029_52121285_+	257
mm9_chr13_52275415_52275667_+	253
mm9_chr13_52918200_52918455_+	256
mm9_chr13_54730542_54730850_+	309
mm9_chr13_55462609_55462868_+	260
mm9_chr13_60609575_60609843_+	269
mm9_chr13_60761402_60761666_+	265
mm9_chr13_64282197_64282484_+	288
mm9_chr13_81350511_81350773_+	263
mm9_chr13_89705981_89706226_+	246
mm9_chr13_97512868_97513199_+	332
mm9_chr13_99309313_99309573_+	261
mm9_chr13_102294277_102294542_+	266
mm9_chr13_103642912_103643213_+	302
mm9_chr14_9091794_9092081_+	288
mm9_chr14_18678352_18678700_+	349
mm9_chr14_26001063_26001343_+	281
mm9_chr14_26610480_26610758_+	279
mm9_chr14_29462640_29462901_+	262
mm9_chr14_31682494_31682738_+	245
mm9_chr14_32454666_32454910_+	245
mm9_chr14_46038322_46038548_+	227
mm9_chr14_47235783_47236085_+	303
mm9_chr14_48182228_48182520_+	293
mm9_chr14_51515867_51516124_+	258
mm9_chr14_55081054_55081318_+	265
mm9_chr14_56340129_56340375_+	247
mm9_chr14_61642921_61643207_+	287
mm9_chr14_61977150_61977404_+	255
mm9_chr14_65470495_65470751_+	257
mm9_chr14_65999333_65999578_+	246
mm9_chr14_66392084_66392382_+	299
mm9_chr14_69891776_69892023_+	248
mm9_chr14_72963811_72964081_+	271
mm9_chr14_73562257_73562566_+	310
mm9_chr14_73809929_73810265_+	337
mm9_chr14_76192998_76193293_+	296
mm9_chr14_77275368_77275614_+	247
mm9_chr14_78909689_78909942_+	254
mm9_chr14_80033034_80033329_+	296
mm9_chr14_105699761_105700050_+	290
mm9_chr15_3201024_3201257_+	234
mm9_chr15_8363440_8363701_+	262
mm9_chr15_9206757_9207018_+	262
mm9_chr15_18882102_18882350_+	249
mm9_chr15_27911902_27912151_+	250
mm9_chr15_28304189_28304446_+	258
mm9_chr15_31513462_31513708_+	247
mm9_chr15_32894560_32894823_+	264
mm9_chr15_36324710_36325052_+	343
mm9_chr15_38981789_38982074_+	286
mm9_chr15_42460221_42460528_+	308
mm9_chr15_54403931_54404218_+	288
mm9_chr15_57721008_57721280_+	273
mm9_chr15_57812369_57812615_+	247
mm9_chr15_59485381_59485669_+	289
mm9_chr15_59615914_59616133_+	220
mm9_chr15_59618318_59618589_+	272
mm9_chr15_61815057_61815301_+	245
mm9_chr15_62048567_62048830_+	264
mm9_chr15_62181596_62181852_+	257
mm9_chr15_65934951_65935235_+	285
mm9_chr15_67255573_67255880_+	308
mm9_chr15_73448095_73448350_+	256
mm9_chr15_76954847_76955177_+	331
mm9_chr15_76991353_76991621_+	269
mm9_chr15_78199505_78199766_+	262
mm9_chr15_78670673_78670983_+	311
mm9_chr15_81169651_81169915_+	265
mm9_chr15_88749903_88750184_+	282
mm9_chr15_91009175_91009447_+	273
mm9_chr15_91113281_91113681_+	401
mm9_chr15_96377722_96377976_+	255
mm9_chr15_96632881_96633144_+	264
mm9_chr15_97060196_97060475_+	280
mm9_chr15_97107028_97107284_+	257
mm9_chr16_6366863_6367119_+	257
mm9_chr16_16073482_16073726_+	245
mm9_chr16_20724346_20724598_+	253
mm9_chr16_23029111_23029424_+	314
mm9_chr16_23058092_23058382_+	291
mm9_chr16_23144507_23144789_+	283
mm9_chr16_24199924_24200191_+	268
mm9_chr16_29944046_29944320_+	275
mm9_chr16_33951066_33951401_+	336
mm9_chr16_34825292_34825568_+	277
mm9_chr16_35046504_35046771_+	268
mm9_chr16_35075783_35076061_+	279
mm9_chr16_35932759_35933072_+	314
mm9_chr16_37580116_37580372_+	257
mm9_chr16_38285969_38286229_+	261
mm9_chr16_43398128_43398370_+	243
mm9_chr16_49896288_49896541_+	254
mm9_chr16_52129514_52129770_+	257
mm9_chr16_78308092_78308348_+	257
mm9_chr16_87611788_87612190_+	403
mm9_chr16_90197029_90197293_+	265
mm9_chr16_91522849_91523106_+	258
